org_name,count,in_crosswalk
Center for Health Care Rights,83,no
City of Lemoore,83,yes
"Coalition for Economic Survival, Los Angeles",83,no
Congress of California Dermatological Societies,83,no
County Alcohol and Drug Program Administrators Association,83,no
Crime,83,no
Crime Victims United of,83,no
Department of Public Health,83,no
Empower Family California,83,no
FTB,83,no
Golden Gate Fields,83,no
Green California,83,yes
Indivisible Sausalito,83,no
Institute of Real Estate Management,83,yes
Insurance Brokers and Agents of the West,83,no
Irvine Unified School District,83,no
La Raza Centro Legal,83,no
Lawyers' Committee for Civil Rights of The San Francisco Bay Area,83,yes
Merced County Board of Supervisors,83,no
Mexican American Opportunity Foundation,83,no
Nonprofit Housing Association of Northern California,83,yes
Public Interest Coalition,83,no
San Diego City Attorney,83,no
San Francisco-Marin Food Bank,83,no
San Luis Obispo County,83,no
South Central Family Health Center,83,no
Stanislaus County Board of Supervisors,83,no
Stopwaste,83,no
The Child Abuse Prevention Center,83,no
United,83,no
United Farm Workers of America,83,yes
United Food & Commercial Workers Region 8 States Council,83,no
Urban Peace Institute,83,no
Valley,83,no
Alameda Labor Council,82,no
American Beverage Association,82,no
Attorney General of California,82,no
Black Parallel School Board,82,no
California Association of LAFCOs,82,no
California Coalition Against Gambling Expansion,82,no
California Competes,82,no
California Energy Efficiency Industry Council,82,yes
California Rice Industry Association,82,no
California Water Service,82,no
Center for Workers' Rights,82,no
City of Fort Bragg,82,yes
City of Madera,82,no
City of Perris,82,yes
Friends of the Santa Clara River,82,no
GENup,82,yes
Golden State Opportunity,82,no
Hospital Corporation of America,82,no
Insure the Uninsured Project,82,no
LIUNA Locals 777 & 792,82,yes
League for Coastal Protection,82,no
Lincoln Area Chamber of Commerce,82,no
Long Beach City College,82,no
Los Angeles Food Policy Council,82,no
Murrieta/Wildomar Chamber of Commerce,82,yes
Nor Cal Rental Property Association,82,yes
Sierra Club-California,82,no
South Tahoe Public Utility District,82,no
State Building and Construction Trades Council of CA,82,yes
Town of Windsor,82,yes
Women For: Orange County,82,yes
Women's Voices for the Earth,82,no
Access Humboldt,81,no
Air Force Sergeants Association,81,no
Alchemist CDC,81,no
Alliance of California Autism Organizations,81,no
"Alzheimer's Association, California Council",81,no
Books Not Bars,81,no
California Collaboration for Youth,81,no
California Health Care Association,81,no
California Paralyzed Veterans Association,81,no
California Water Service Company,81,no
Central Coast Alliance United for A Sustainable Economy,81,yes
Child Abuse Prevention Council of Contra Costa County,81,no
Children's Hospital Los Angeles,81,no
City of Santee,81,yes
Construction Materials Association of California,81,no
County of San Francisco,81,no
Danville Area Chamber of Commerce,81,no
Desert AIDS Project,81,no
Fresno Interdenominational Refugee Ministries,81,yes
Governor,81,no
Grace Institute - End Child Poverty in CA,81,no
Jericho: A Voice for Justice,81,yes
Kern County Fire Fighters Union Inc,81,no
"Los Angeles Dependency Lawyers, INC",81,no
Metropolitan Water District,81,no
Napa County Office of Education,81,no
Professional Beauty Federation of California,81,no
Redwood Community Action Agency,81,yes
Reform,81,no
San Francisco Department of Public Health,81,no
San Joaquin River Parkway and Conservation Trust,81,yes
San Pedro Chamber of Commerce,81,no
"Service Employees International Union, California State Council",81,no
Southern California Marine Association,81,no
"The Fund for Animals, Inc",81,no
The Institute for College Access & Success,81,no
United Food and Commercial Workers Region 8 States Council,81,no
Veterans of Foreign Wars - Department of California,81,yes
"American Academy of Pediatrics, California District",80,no
Black Women Organized for Political Action,80,no
Building Industry Association of Southern California,80,yes
CA Business Properties Association,80,no
California Association of Federal Firearms Licensees,80,no
California Association of Public Hospitals & Health Systems,80,no
California Department of Veterans Affairs,80,no
"Chicano Consortium, Sacramento",80,no
City of Coachella,80,no
City of Orinda,80,yes
City of Upland,80,yes
Cloverdale Indivisible,80,no
County of Inyo,80,no
Department of Pesticide Regulation,80,no
District Attorney's Office,80,no
Education Trust-West,80,no
El Monte/South El Monte Chamber of Commerce,80,no
"Employees (AFSCME), AFL-CIO",80,no
Jakara Movement,80,yes
LA Care Health Plan,80,no
Lakewood,80,yes
Napa Recycling and Waste Services,80,no
North East Trees,80,yes
Partnership for the Advancement of New Americans,80,no
Public Advocates Inc,80,no
Rincon Band of Luiseño Indians,80,no
Riverside County Public K-12 School District Superintendents,80,no
Sacramento County Deputy Sheriff's Association,80,no
Santa Cruz County Office of Education,80,no
Scotts Valley Band of Pomo Indians,80,no
State Superintendent of Public Instruction Tom Torlakson,80,no
Tesla,80,yes
The Education Trust-West,80,no
Vision Y Compromiso,80,no
American Oceans Campaign,79,no
Association of Regional Center Agencies (ARCA),79,no
Board of Psychology,79,no
Bridge Housing,79,yes
Brightline Defense,79,no
CMG/Caliva,79,no
California Association of School Transportation Officials,79,no
California Manufacturers and Technology Association (CMTA),79,no
California Manufactures & Technology Association,79,no
California School,79,no
California Small Brewers Association,79,no
California Voter Foundation,79,no
California Work and Family Coalition,79,no
Center for Living and Learning,79,yes
Cerritos Regional Chamber of Commerce,79,yes
City of Hope National Medical Center,79,no
Clinica Sierra Vista,79,no
Community Medical Centers,79,no
Community Solutions,79,yes
Culver City,79,no
Cupertino Chamber of Commerce,79,no
Ed Voice,79,no
First 5 Santa Clara County,79,no
Fresno County,79,no
Friends of the Eel River,79,no
Hayward Area Recreation and Park District,79,yes
Independent Administrators Association,79,no
Interfaith Movement for Human Integrity,79,no
Jewish Silicon Valley,79,no
Modesto Chamber of Commerce,79,no
Planned Parenthood Golden Gate,79,no
Rancho Cucamonga Chamber of Commerce,79,no
Safe Routes Partnership,79,no
San Gabriel Valley Municipal Water District,79,no
State Department of General Services,79,no
State Department of Personnel Administration,79,no
Sustainable Silicon Valley,79,yes
Teach Plus,79,no
The Arc of California,79,no
"American Association for Marriage and Family Therapy, California Division",78,no
American Sustainable Business Council,78,no
Calegislation,78,no
California Bowmen Hunters/State Archery Association,78,no
California Commission on Uniform State Laws,78,no
California Department of Forestry Employees Association,78,no
California Pool and Spa Association,78,no
California Reinvestment Committee,78,no
City of Hanford,78,yes
City of Milpitas,78,yes
City of Sonoma,78,yes
Corona-Norco Unified School District,78,no
Futures Without Violence,78,no
Grossmont-Cuyamaca Community College District,78,no
Inter-Agency Council on Child Abuse and Neglect,78,no
International Union,78,no
Internet Coalition,78,no
Jewish Free Loan Association,78,yes
L.A. County Probation Officers Union,78,no
LISC San Diego,78,yes
National Nurses Organizing Committee,78,yes
Office of Statewide Health Planning and Development,78,no
Otay Water District,78,no
Pharmaceutical Care Management Association,78,no
San Bernardino Valley Municipal Water District,78,no
San Francisco Bay Area Rapid Transit District (BART),78,yes
Santa Cruz,78,no
Santa Monica Chamber of Commerce,78,yes
School District,78,no
Solano County Taxpayers Association,78,no
Southern California College Attainment Network,78,no
Stronger California Advocates Network,78,no
The California State University,78,no
Wakeland Housing and Development Corporation,78,yes
WateReuse Association of California,78,no
West Hollywood Chamber of Commerce,78,yes
Alameda County Foster Youth Alliance,77,yes
Alliance of California Tribes,77,no
Bay Area Community Services,77,yes
California Association of Services for Children,77,no
California Board of Psychology,77,no
California Chamber Of Commerce,77,yes
California Climate Voters,77,no
California Coalition for Mental Health,77,no
California Council of Police & Sheriffs,77,no
California Immigrant Youth Justice Alliance,77,no
California State Conference of the National Association for the Advancement of Colored People,77,yes
Cameo - California Association for Micro Enterprise Opportunity,77,no
Commerce Club,77,no
Consumer Brands Association,77,no
Department of Parks and Recreation,77,no
Economic Security Project Action,77,no
Federation,77,no
Fibershed,77,no
Homeless Health Care Los Angeles,77,yes
Howard Jarvis Taxpayers Association (HJTA),77,no
Latino Health Access,77,no
Mendocino Land Trust,77,yes
Military Officers Association of America-California Council of Chapters,77,no
NAIOP California,77,no
Otay Mesa Chamber of Commerce,77,no
San Francisco Bay Conservation and Development Commission,77,no
San Mateo,77,no
Santa Ana Watershed Project Authority,77,no
Santa Monica Baykeeper,77,no
"Sheriff, San Bernardino County",77,no
Sonoma,77,no
Sonoma County Waste Management Agency,77,no
Southwestern Community College District,77,no
The Trevor Project,77,no
Tides Advocacy,77,yes
Western,77,no
and Piping Industry,77,no
Aetna,76,no
American Kennel Club,76,no
Antioch Unified School District,76,no
"Bienestar Human Services, Inc",76,no
CSAC,76,yes
California Alliance for Retired Americans (CARA),76,no
California Association of Addiction Recovery Resources,76,no
California Lobby for Animal Welfare,76,no
California State Conference of the National Association for the Advancement,76,no
City of Brisbane,76,yes
City of Calabasas,76,yes
City of Cudahy,76,no
City of Redlands,76,yes
Coachella Valley Waterkeeper,76,no
Community Housing Improvement Program,76,yes
Council of Acupuncture and Oriental Medicine Associations,76,no
Del Norte County Board of Supervisors,76,no
Earthworks,76,no
Facts Families Advocating for Chemical and Toxics Safety,76,no
"Golden State Mobilehome Owners League, Inc",76,no
Kirsch Foundation,76,no
Large-Scale Solar Association,76,no
"Mental Health Advocacy Services, Inc",76,no
Molina Healthcare of California,76,no
Monterey Coastkeeper,76,no
Moreno Valley Chamber of Commerce,76,no
National Nurses United,76,no
Orange County District Attorney's Office,76,yes
Reproductive Freedom for All California,76,no
Safer Streets LA,76,no
Santa Clara County School Boards Association,76,no
T-Mobile,76,no
"Unite Here International Union, AFL-CIO",76,yes
YMCA of San Diego County,76,no
Youth Alliance,76,no
bill,76,no
Animal Legislative Action Network,75,no
Association of Environmental Professionals,75,yes
Black Leadership Council,75,yes
CalPACE,75,yes
California Association of Pest Control Advisers,75,no
California Human Development,75,yes
California Labor Federation (AFL-CIO),75,no
Cedars-Sinai Medical Center,75,no
City of Hawaiian Gardens,75,no
Construction Industry Air Quality Coalition,75,no
Destination: Home,75,yes
East Bay Developmental Disabilities Legislative Coalition,75,yes
Employee Rights Center,75,no
Environmental Technology Council,75,no
Environmental Water Caucus,75,no
Fathers and Families of San Joaquin,75,yes
Green Foothills,75,yes
Housing Now,75,yes
Indivisible Media City Burbank,75,no
Insurance Companies,75,no
John Burton Foundation,75,yes
Lifelong Medical Care,75,yes
Los Angeles County Waste Management Association,75,no
Los Padres ForestWatch,75,yes
Madera County,75,no
Monterey-Salinas Transit,75,no
Nevada County Citizens for Choice,75,no
Office of the San Bernardino County Sheriff,75,no
Opportunity Fund,75,yes
SV@Home,75,yes
Sacramento Food Bank & Family Services,75,no
San Diego District Attorney's Office,75,no
Save the Albatross Coalition,75,no
Sierra Forest Legacy,75,no
Toward Utility Rate Normalization (TURN),75,no
Vallecitos Water District,75,no
Veterans Caucus of the California Democratic Party,75,no
and Municipal Employees,75,no
Acterra,74,no
American Jewish Committee,74,no
Antelope Valley Community College District,74,no
Asian Americans Advancing Justice-Southern California,74,no
Asian and Pacific Islander American Health Forum,74,no
Brady California United Against Gun Violence,74,no
Butte County,74,no
California Alliance For Consumer Protection,74,no
California Association of Homes for the Aging,74,no
California Association of Orthodontists,74,no
California Association of Supervisors of Child Welfare and Attendance,74,no
California Chapter,74,no
California Coalition for Worker Power,74,no
California Innocence Coalition,74,no
California Landscape Contractor's Association,74,no
California Primary Care Association Advocates,74,no
California Public Health Association - North,74,no
California Youth Connection (CYC),74,no
Catholic Charities of Santa Clara County,74,yes
Cerritos College,74,no
Children's Law Center,74,no
City of East Palo Alto,74,yes
City of Lake Elsinore,74,yes
City of Lawndale,74,yes
Conservation Corps of Long Beach,74,no
Contra Costa Taxpayers Association,74,yes
Critical Resistance,74,no
David Felderstein,74,no
Democratic Party of the San Fernando Valley,74,yes
Desert Citizens Against Pollution,74,no
Emergency Nurses Association,74,no
Entertainment Software Association,74,no
Friends of The Earth,74,yes
General Motors,74,no
Harbor Association of Industry & Commerce,74,no
Humboldt County,74,no
Identity Theft Resource Center,74,no
Inland Equity Partnership,74,yes
Jewish Family and Children's Service of Long Beach and Orange County,74,no
Local Clean Energy Alliance,74,yes
Mujeres Unidas Y Activas,74,no
North County Watch,74,no
Official Police Garage Association of Los Angeles,74,no
Pasadena Unified School District,74,no
Racial and Ethnic Mental Health Disparities Coalition,74,no
Riverside Temple Beth El,74,no
Safari Club International - California Chapters,74,no
San Diego Immigrant Rights Consortium,74,no
Seamless Bay Area,74,no
"Services, Immigrant Rights, and Education Network",74,no
"Sierra Club, California",74,no
Southern California Edison (SCE),74,no
State Treasurer Phil Angelides,74,no
Superior Court of California,74,no
TELACU,74,yes
The Toy Association,74,no
Unite Here,74,no
United Anglers of California,74,no
United Way Bay Area,74,yes
University of San Diego,74,no
Wellstone Democratic Renewal Club,74,yes
Western State Council of Sheet Metal Workers,74,no
Alliance of Californians for Community Empowerment (ACCE) Action,73,yes
American Civil Liberties,73,no
American Cleaning Institute,73,no
Anaheim Police Officers Association,73,no
Association of California Health Care Districts,73,yes
Buena Park,73,no
CA Municipal Utilities Association,73,no
"California Association of Licensed Security Agencies, Guards and Associates",73,no
California Efficiency + Demand Management Council,73,yes
California Green New Deal Coalition,73,no
"California Legislative Conference of the Plumbing, Heating",73,no
California Native Vote Project,73,no
California ProLife Council,73,no
California Science Teachers Association,73,no
California State Foster Parent Association,73,no
California Teachers of English to Speakers of Other Languages,73,no
California Tribal Families Coalition,73,no
Cannabis Distribution Association,73,no
Carson Chamber of Commerce,73,no
Cemetery and Mortuary Association of California,73,no
Central Contra Costa Solid Waste Authority,73,no
City of Oakdale,73,yes
City of Rancho Santa Margarita,73,yes
Department of Education,73,no
Economic Security California Action,73,no
Elk Valley Rancheria,73,no
Friends of the Los Angeles River,73,no
Inland Congregations United for Change,73,yes
League to Save Lake Tahoe,73,no
Legal,73,no
Little Manila Rising,73,no
Los Angeles County Medical Association,73,no
National Juvenile Justice Network,73,no
Natural Heritage Institute,73,no
Orange County Association of Realtors,73,yes
Orange County People for Animals,73,no
Our Revolution Long Beach,73,no
PawPAC,73,no
Peninsula Interfaith Climate Action,73,yes
Providence St. Joseph Health,73,no
Reserve Officers Association,73,no
San Diego East County Chamber of Commerce,73,no
Semiconductor Equipment & Materials International,73,no
Siskiyou County Board of Supervisors,73,no
South Bay AFL-CIO Labor Council,73,no
St. Joseph Center,73,yes
Stanislaus County Office of Education,73,no
State Controller Steve Westly,73,no
UPS,73,yes
UnCommon Law,73,yes
"Utility Workers Union of America, AFL-CIO",73,no
Western Independent Refiners Association,73,no
Zanker Recycling,73,no
and,73,no
Abode Communities,72,yes
"American Planning Association, CA Chapter",72,no
American Whitewater,72,no
Apple Valley Fire Protection District,72,no
CA Association of Local Agency Formation Commissions,72,no
California Coverage & Health Initiatives,72,no
Canopy,72,yes
Center for Policy Reform,72,no
Central Basin Water Association,72,no
Centro Legal De LA Raza,72,yes
Chinatown Community Development Center,72,yes
El Cajon,72,no
Free Speech Coalition,72,no
Girl Scout Councils of California,72,no
Holocaust Museum LA,72,no
"Laguna Greenbelt, Inc",72,no
Laguna Woods Democratic Club,72,no
Lyft,72,no
"National Association of Social Workers, CA Chapter (NASW-CA)",72,no
Natural Resource Defense Council,72,no
North America,72,no
Office of the State Long-Term Care Ombudsman,72,no
Orange County Superintendent of Schools,72,no
Pasadena City College,72,no
Porterville Chamber of Commerce,72,yes
Rails to Trails Conservancy,72,no
Sacramento County District Attorney's Office,72,no
Sheriffs,72,no
Society for Human Resource Management,72,no
South Bay Labor Council,72,yes
Southern California Alliance of Law Enforcement,72,no
TechEquity Action,72,no
Tulare,72,no
Tuolumne Utilities District,72,no
Urban County of California,72,no
Venice Resistance,72,no
"Waste Management, Inc",72,no
Western State Petroleum Association,72,no
All of Us or None Los Angeles,71,no
"Asian Law Alliance, San Jose",71,no
Brady California,71,no
CA Association of Sanitation Agencies,71,no
California Academy of Ophthalmology,71,no
California Delivery Association,71,no
California District Attorneys Association (CDAA),71,no
California Municipal Utilities Association (CMUA),71,no
California School Board Association,71,no
California State Building and Construction Trades Council,71,yes
California Wool Growers Association,71,no
Californians Together Coalition,71,no
Chinatown Service Center,71,no
City of Kerman,71,yes
City of Porterville,71,no
Clean Air Task Force,71,no
Community Housing Opportunities Corporation,71,yes
Community Overcoming Relationship Abuse,71,yes
County Recorders' Association of California,71,no
County Sheriff,71,no
El Dorado County Board of Supervisors,71,no
"Enterprise Community Partners, INC",71,no
Environmental Law Foundation,71,no
Fund,71,no
Glendale Unified School District,71,no
Glenn County Board of Supervisors,71,no
Harbor Association of Industry and Commerce,71,no
Hewlett-Packard Company,71,no
Kern County Farm Bureau,71,no
Kiva Confections,71,no
Labor/Community Strategy Center,71,yes
Livermore Indivisible,71,no
MADD,71,no
National Right to Work Committee,71,no
Port of San Diego,71,yes
Poway Unified School District,71,no
Protection and Advocacy Inc,71,no
Rainbow Services,71,no
Sacramento Asian Pacific Chamber of Commerce,71,no
Society,71,no
Sonoma County Office of Education,71,no
Sustainable Claremont,71,no
Table Mountain Rancheria,71,no
The Public Interest Law Project,71,yes
Tribal Alliance of Sovereign Indian Nations,71,yes
United Anglers,71,yes
United Chambers of Commerce of the San Fernando Valley,71,no
Urban Semillas,71,yes
WateReuse Association,71,yes
Women United for Animal Welfare,71,no
Yorba Linda Water District,71,no
American College of Obstetricians & Gynecologists - District IX,70,no
"American Federation of State, County and Municipal Employees, AFL",70,no
BRIDGE Housing,70,yes
Calbroadband,70,no
California Association of Highway Patrolmen (CAHP),70,no
California Cable Television Association,70,no
California Judicial Council,70,no
California Nevada Cement Association,70,no
California Nurses Association (CNA),70,no
California Short Line Railroad Association,70,no
California's Coalition for Adequate School Housing,70,no
Center for Auto Safety,70,no
"Center on Race, Poverty and the Environment",70,no
"Center on Race, Poverty, and the Environment",70,yes
Chief,70,no
City of Beaumont,70,yes
City of Cotati,70,yes
City of Lincoln,70,no
City of Newark,70,yes
City of San Dimas,70,yes
City of Walnut,70,no
Congressional Sportsmen's Foundation,70,no
Contra Costa Council,70,no
Ecological Farming Association,70,no
El Camino Hospital,70,no
"Election Integrity Project California, Inc",70,no
FISCAL COMMITTEE: No,70,no
Firefighters,70,no
Fresno Economic Opportunities Commission,70,no
Housing,70,no
Insurance Commissioner Dave Jones,70,no
JCRC Bay Area,70,no
Letters from Individuals,70,no
Microsoft,70,no
Mountain Counties Water Resources Association,70,no
Orange County Professional Firefighters Association,70,no
Palm Desert Chamber of Commerce,70,no
Paw PAC,70,no
"Physicians for Social Responsibility, San Francisco Bay Area Chapter",70,no
Sacramento Hispanic Chamber of Commerce,70,no
Sacramento Housing and Redevelopment Agency,70,no
Santa Clara Board of Supervisors,70,yes
Santa Clara Family Health Plan,70,no
State Department of Social Services,70,no
Students Demand Action for Gun Sense in America,70,no
United Anglers of Southern California,70,no
Valley Improvement Projects,70,no
Vista Community Clinic,70,no
"Western Electrical Contractors Association, Inc",70,no
AeA,69,no
Aircraft Owners and Pilots Association,69,yes
Alliance for A Better Community,69,no
American Planning Association California Chapter,69,yes
Arroyo Vista Family Health Center,69,no
Association of California Hospital Districts,69,no
Auto Club of Southern California,69,no
California Asian Chamber of Commerce,69,yes
California Chapter of the American College of Emergency,69,no
California Coalition of Law Enforcement Associations,69,no
California Forward,69,no
California Invasive Plant Council,69,yes
California Pawnbrokers Association,69,no
California Peace Officer's Association,69,no
California Pear Growers,69,yes
California Pipe Trades Council,69,no
California Retired County Employees Association,69,no
California State Park Rangers Association,69,no
California Waterfowl,69,no
City of Huron,69,no
City of Pleasant Hill,69,yes
City of San Marino,69,yes
City of Shafter,69,no
Contra Costa,69,no
"Contractors, National Association",69,no
County Health Executives Association,69,no
Department of Personnel Administration (DPA),69,no
Doris Tate,69,no
Epilepsy California,69,no
Feather River Land Trust,69,yes
Fire Districts Association of CA,69,no
Habitat for Humanity,69,yes
"Handgun Control, Inc",69,no
Jewish Family & Community Services East Bay,69,no
Johnson & Johnson,69,no
Klamath Forest Alliance,69,no
Loaves and Fishes,69,yes
Marin Humane Society,69,no
Mendocino County Office of Education,69,no
Merritt Community Capital Corporation,69,yes
Modesto,69,no
Motivating Individual Leadership for Public Advancement,69,no
National Electrical Manufacturers Association,69,no
Nevada County Board of Supervisors,69,no
New Economics for Women,69,no
Pet Industry Joint Advisory Council,69,no
Progressive Jewish Alliance,69,no
Riverside County Sheriff's Department,69,no
San Diego LGBT Community Center,69,yes
Santa Clara University,69,no
Sharp Healthcare,69,no
South Orange County Economic Coalition,69,yes
Stanislaus,69,no
The Paw Project,69,no
Valley Clean Air Now,69,no
Walden Family Services,69,yes
Walgreens,69,no
West Berkeley Alliance for Clean Air and Safe Jobs,69,no
West Hollywood Community Housing Corporation,69,yes
Western Crop Protection Association,69,no
Western Painting and Coating Contractors Association,69,no
Affordable Housing Network of Santa Clara County,68,yes
Alameda Alliance for Health,68,no
Assoc,68,no
California Association of Housing Authorities,68,yes
California Farmers Union,68,yes
California Federation of Teachers Afl-cio,68,yes
California Hawking Club,68,no
California Naturopathic Doctors Association,68,no
California Seniors,68,no
California Waste Haulers Council,68,no
City of Delano,68,yes
City of Los,68,no
City of San Bruno,68,yes
Congress of,68,no
El Dorado County Office of Education,68,no
Entertainment Union Coalition,68,no
"Eric Garcetti, Mayor of Los Angeles",68,yes
Federated Indians of Graton Rancheria,68,yes
Friends Committee on,68,no
Imperial Valley Regional Chamber of Commerce,68,no
International Faith Based Coalition,68,no
Korean Community Center of the East Bay,68,no
Managed Risk Medical Insurance Board,68,no
Motorcycle Industry Council,68,no
Mutual Housing California,68,yes
"National Health Services, Inc",68,no
Occidental Arts and Ecology Center,68,no
Off Road Vehicle Legislative Coalition,68,no
Orange County Communities Organized for Responsible Development,68,yes
Orange County LAFCO,68,no
PATH,68,yes
Quest Diagnostics,68,no
Radiant Health Centers,68,no
Redlands Chamber of Commerce,68,no
San Bernardino County Safety Employees Association,68,no
San Diego County Breastfeeding Coalition,68,no
San Gabriel/Pomona Regional Center,68,no
San Joaquin,68,no
San Luis Obispo County Integrated Waste Management Authority,68,no
San Luis Obispo Yimby,68,yes
Save Lafayette,68,yes
SmithKline Beecham,68,no
South Bay People Power,68,no
St. Mary's Center,68,yes
Starting Over INC,68,no
Sustainable Tamalmonte,68,yes
4 Individuals,67,no
Alameda County Sheriff,67,no
Alliance for Patient Access,67,no
Arcadia Police Officers Association,67,no
Cal Asian Chamber of Commerce,67,yes
California Behavioral Health Association,67,no
California Department of Health Services,67,no
California Federation of Interpreters,67,no
California HIV Advocacy Coalition,67,no
California Insurance Guarantee Association,67,no
California Neurology Society,67,no
California Society of Pediatric Dentistry,67,no
California State Coroners' Association,67,no
California Wildlife Foundation,67,yes
Californians for Western Wilderness,67,no
City of Fowler,67,no
City of Riverbank,67,yes
Conference,67,no
County of Kings,67,no
Crime Survivors for Safety and Justice,67,no
Department of Managed Health Care,67,no
"Engineers and Scientists of California, Local 20",67,no
"Esperanza Community Housing Corporation, Los Angeles",67,no
First American Corporation,67,no
Fresno County Sheriff,67,no
General,67,no
If/When/How: Lawyering for Reproductive Justice,67,no
Junior League of California,67,no
Justice for Murder Victims,67,no
League of Cities,67,yes
Low Income Investment Fund,67,yes
Marin County Office of Education,67,no
Marjaree Mason Center,67,no
Mental Health Advocacy Services,67,yes
Nature for All,67,no
Office of Legislative Counsel,67,no
Organization,67,no
Our Duty,67,no
PODER,67,yes
Pardee Construction Company,67,no
Restaurant Opportunities Center of Los Angeles,67,yes
Sacramento Neighborhood Housing Services,67,yes
Sacramento Regional Coalition to End Homelessness,67,yes
San Francisco Cannabis Retailers Alliance,67,no
San Francisco Foundation,67,yes
Showing Up for Racial Justice Bay Area,67,yes
State Building & Construction Trades Council,67,yes
Sunnyvale Mobile Home Owners Advisory Council,67,no
Sunrun,67,no
Superintendent of Public Instruction Tom Torlakson,67,no
UPSTREAM,67,no
Vision y Compromiso,67,no
Westside for Everyone,67,yes
ABATE of California,66,no
Audubon Society,66,yes
Board of Barbering and Cosmetology,66,no
"CFT- a Union of Educators & Classified Professionals, AFT, AFL-CIO",66,no
CPUC,66,no
California Architects Board,66,no
California Arts Council,66,no
California Athletic Trainers Association,66,no
California Emerging Technology Fund,66,yes
California League of Cities,66,no
California Public Interest Research Group (CalPIRG),66,no
California School Employees,66,no
California Staffing Professionals,66,no
California State Council,66,no
Caltrans,66,no
Career Ladders Project,66,no
Center for Community Solutions,66,no
"Center for Oceanic Awareness, Research, and Education",66,no
Clean Water Action California,66,yes
Community Nature Connection,66,no
Contra Costa County Advisory Council on Aging,66,no
Del Norte Solid Waste Management Authority,66,no
Delta Waterfowl,66,no
Democratic Party of Contra Costa County,66,no
District Council of Iron Workers of the State of California and Vicinity,66,yes
Early Care and Education Consortium,66,no
East Orange County Water District,66,yes
Everychild Foundation,66,yes
Facts: Families Advocating for Chemical & Toxics Safety,66,no
Friends,66,no
Friends of The River,66,yes
Golden State Manufactured Home Owners League,66,yes
Greenpeace,66,no
Inclusive Action for the City,66,yes
Independent Automobile Dealers Association of California,66,no
Independent Hospitality Coalition,66,no
Indivisible San Francisco,66,yes
KIDS SAFE,66,no
Kaweah Delta Health Care District,66,no
Legislation,66,no
Lideres Campesinas,66,no
Los Angeles County Business Federation (BIZFED),66,yes
Mill Valley Community Action Network,66,no
Mooretown Rancheria,66,yes
Muir Heritage Land Trust,66,yes
National Consumers League,66,no
National Council of Jewish Women CA,66,no
National Press Photographers Association,66,no
Norcal Waste Systems,66,no
Oceanside,66,no
Orange County Council of Governments,66,yes
"Professional & Technical Engineers, IFPTE Local 21",66,no
SCI California Funeral Services,66,no
SMH:bkh,66,no
Sacramento Area Flood Control Agency,66,no
San Diego Community Power,66,no
Santa Maria,66,no
Santa Monicans for Renters' Rights,66,yes
Santa Rosa Junior College,66,no
Save The Bay,66,yes
Soboba Band of Luiseno Indians,66,no
Sportfishing Association of California,66,no
Sports and Arms Show Producers of America,66,no
State Department of Justice,66,no
Ten Strands,66,no
Thousand Oaks,66,no
Tulare County Farm Bureau,66,no
UAW Local 5810,66,no
VFW-Department of California,66,no
World Institute on Disability,66,no
Yuba County Board of Supervisors,66,yes
of,66,no
21st Century Alliance,65,yes
American Express,65,no
American Planning Association - California Chapter,65,yes
Area 4 Agency on Aging,65,no
Biotechnology Industry Organization,65,no
Blue Lake Rancheria,65,no
Blue Shield,65,no
Bluegreen Alliance,65,no
Brady Campaign California,65,no
CA Association of Recreation and Park Districts,65,no
CDI,65,no
"CFT - A Union of Educators & Classified Professionals, AFT, AFL-CIO",65,no
"California Association of Licensed Security Agencies, Guards & Associates",65,no
California Automatic Vendors Council,65,no
California Construction Trucking Association,65,no
California Insurance Wholesalers Association,65,no
California Professional Firefighters Association,65,no
California Water Impact Network,65,no
Care Professionals,65,no
Chicano Consortium,65,no
City of Adelanto,65,yes
City of Arvin,65,no
City of Ukiah,65,yes
Community,65,no
Developmental Disabilities Area Board 10,65,yes
East Bay Family Defenders,65,yes
Fair Housing Council of Orange County,65,yes
Golden State Builders Exchange,65,yes
Greater Stockton Chamber of Commerce,65,no
Insurance Commissioner Ricardo Lara,65,no
Kellie Smith,65,no
Land Conservancy of San Luis Obispo County,65,yes
Los Angeles Black Worker Center,65,yes
Lt. Governor Cruz Bustamante,65,no
Mendocino Cannabis Alliance,65,no
Mojave Desert Air Quality Management District,65,no
Murrieta Chamber of Commerce,65,no
Napa Valley Community Housing,65,yes
National Rifle Association - Institute for Legislative Action,65,no
National Women's Law Center,65,no
Nevada County Cannabis Alliance,65,no
North County Health Services,65,no
Northern California College Promise Coalition,65,no
On Lok Senior Health Services,65,yes
Partnership for Los Angeles Schools,65,no
Pillars of The Community,65,yes
Pomona Valley Hospital Medical Center,65,no
Regional Council of Rural Counties (RCRC),65,no
Research Association of California,65,no
Rewiring America,65,no
Rising Sun Center for Opportunity,65,no
Rowland Unified School District,65,no
Safari Club International Foundation,65,yes
San Francisco Medical Society,65,no
San Joaquin Valley Unified Air Pollution Control District,65,no
San Juan Unified School District,65,no
Save San Francisco Bay Association,65,no
Shasta County,65,no
Sherman Oaks Homeowners Association,65,yes
Smith River Rancheria,65,no
SolarCity,65,yes
St. Joseph Health System,65,no
State Controller Betty Yee,65,yes
Town of Hillsborough,65,yes
