the_version,non_the_version,the_count,non_the_count
The San Francisco Financial Justice Project,San Francisco Financial Justice Project,11,54
the Climate Equity Policy Center,Climate Equity Policy Center,5,60
The State,State,3,62
the State,State,3,62
The Public Advocates Office,Public Advocates Office,2,63
The California Avocado Commission,California Avocado Commission,1,64
the Californiahealth+ Advocates,Californiahealth+ Advocates,1,64
the Respiratory Care Board of California,Respiratory Care Board of California,1,64
The California Association of Health,California Association of Health,35,29
The Dental Health Foundation,Dental Health Foundation,19,45
The Motion Picture Association,Motion Picture Association,3,61
The Insight Center for Community Economic Development,Insight Center for Community Economic Development,2,62
The Bay Area,Bay Area,1,63
The California Coalition for Immigration Reform,California Coalition for Immigration Reform,1,63
The California League of Savings Institutions,California League of Savings Institutions,1,63
The City of Coalinga,City of Coalinga,1,63
The Coalition for Quality Credit Counseling,Coalition for Quality Credit Counseling,1,63
The National Insurance Crime Bureau,National Insurance Crime Bureau,1,63
The Village Club,Village Club,11,52
The Mental Health Association of California,Mental Health Association of California,2,61
The Insight Center For Community Economic Development,Insight Center for Community Economic Development,1,62
the Aging,Aging,33,29
The Central Valley Urban Institute,Central Valley Urban Institute,28,34
The Service Employees International,Service Employees International,9,53
The Employers Group,Employers Group,7,55
The Dairy Institute,Dairy Institute,3,59
The Institute on Aging,Institute on Aging,1,61
The Regional Center of Orange County,Regional Center of Orange County,1,61
the Debt Free Justice California,Debt Free Justice California,1,61
The Arc,arc,59,2
The Kennedy Forum,Kennedy Forum,57,4
The Fresno Business Council,Fresno Business Council,6,55
The CalPERS Board of Administration,CalPERS Board of Administration,1,60
The California Association of Local Agency Formation,California Association of Local Agency Formation,1,60
"The Gay and Lesbian Adolescent Social Services, Inc","Gay and Lesbian Adolescent Social Services, Inc",1,60
The Orange County Food Access Coalition,Orange County Food Access Coalition,1,60
The San Francisco Living Wage Coalition,San Francisco Living Wage Coalition,1,60
the Tule River Tribe,Tule River Tribe,1,60
The Arc and United Cerebral Palsy in California,Arc and United Cerebral Palsy in California,59,1
The Pacific Companies,Pacific Companies,57,3
"The Climate Reality Project, California Coalition","Climate Reality Project, California Coalition",8,52
The Commerce Casino,Commerce Casino,4,56
The School for Integrated Academics and Technologies,School for Integrated Academics and Technologies,4,56
the United Food and Commercial Workers Union,United Food and Commercial Workers Union,2,58
The American Nurses Association,American Nurses Association,1,59
The Armenian National Committee of America - Western Region,Armenian National Committee of America - Western Region,1,59
The California Innocence Project,California Innocence Project,1,59
The Mercury Insurance Company,Mercury Insurance Company,1,59
The American Civil Liberties Union,American Civil LIberties Union,56,3
The First American Financial Corporation,First American Financial Corporation,26,33
The California Children's Trust,California Children's Trust,25,34
The Coalition of California Insurance Professionals,Coalition of California Insurance Professionals,3,56
The Hunger Advocacy Network,Hunger Advocacy Network,3,56
The Jewish Federation of Greater Los Angeles,Jewish Federation of Greater Los Angeles,2,57
The California Society of CPAs,California Society of CPAs,1,58
the California Alliance of Nurses for Healthy Environments,California Alliance of Nurses for Healthy Environments,1,58
the Netchoice,Netchoice,1,58
The Gubbio Project,Gubbio Project,57,1
The Doctors Company,Doctors Company,53,5
The Tobacco Institute,Tobacco Institute,52,6
The San Diego River Park Foundation,San Diego River Park Foundation,8,50
The California Applicant Attorneys Association,California Applicant Attorneys Association,3,55
The American Federation,American Federation,2,56
The California Department of Forestry and Fire Protection,California Department of Forestry and Fire Protection,2,56
the Los Angeles County Professional Peace Officers,Los Angeles County Professional Peace Officers,2,56
"The Climate Reality Project, Orange County","Climate Reality Project, Orange County",1,57
The Coalition Of Orange County Community Health Centers,Coalition of Orange County Community Health Centers,1,57
The Family Assistance Program,Family Assistance Program,1,57
The L.A. Gay and Lesbian Center,L.A. Gay and Lesbian Center,1,57
The Liberty Hill Foundation,Liberty Hill Foundation,1,57
the Breathe Southern California,Breathe Southern California,1,57
the California State Association of Psychiatrists (CSAP),California State Association of Psychiatrists (CSAP),1,57
The League of Women Voters of California,League of Women Voters Of California,50,7
The Marin Institute,Marin Institute,18,39
The Women's Foundation,Women's Foundation,15,42
The American River Conservancy,American River Conservancy,7,50
The American Medical Women's Association,American Medical Women's Association,4,53
The American Resort Development Association,American Resort Development Association,2,55
The California Association of Air Medical Services,California Association of Air Medical Services,1,56
The Learning Rights Law Center,Learning Rights Law Center,1,56
The Napa Valley Vintners,Napa Valley Vintners,1,56
The Charles R. Drew University of Medicine and Science,Charles R. Drew University of Medicine and Science,5,51
The Trusts and Estates Section of the State Bar of California,Trusts and Estates Section of the State Bar of California,5,51
The Association of California Insurance,Association of California Insurance,3,53
The Consulting Engineers and Land Surveyors of,Consulting Engineers and Land Surveyors of,2,54
The California Health Information Association,California Health Information Association,1,55
The Court Reporters Board of California,Court Reporters Board of California,1,55
The Sierra Fund,Sierra Fund,33,22
The Center for Popular Democracy,Center for Popular Democracy,26,29
The Vote Solar Initiative,Vote Solar Initiative,26,29
The Board of Supervisors of Marin County,Board of Supervisors of Marin County,11,44
The Juvenile Products Manufacturers Association,Juvenile Products Manufacturers Association,6,49
The San Francisco Bay Joint Venture,San Francisco Bay Joint Venture,6,49
The Train Riders Association of California,Train Riders Association of California,3,52
"The State Bar, Family Law Section","State Bar, Family Law Section",2,53
The Association of Global Automakers,Association of Global Automakers,1,54
The California Homeless and Housing Coalition,California Homeless and Housing Coalition,1,54
The California Nurses,California Nurses,1,54
The Alliance for Children's Rights,Alliance For Children's Rights,48,6
The Women's Building,Women's Building,46,8
The Military Officers Association of America,Military Officers Association of America,4,50
The Structural Pest Control Board,Structural Pest Control Board,4,50
"The National Association of Social Workers, California Chapter (NASW-CA)","National Association of Social Workers, California Chapter (NASW-CA)",3,51
The California Rangeland Trust,California Rangeland Trust,1,53
The Center for Employment Training,Center for Employment Training,1,53
The Crime Victims Alliance,Crime Victims Alliance,1,53
The St. James Infirmary,St. James Infirmary,1,53
the State Independent Living Council,State Independent Living Council,1,53
The Watershed Research and Training Center,Watershed Research and Training Center,47,6
The Silicon Valley Organization,Silicon Valley Organization,34,19
The Opportunity Institute,Opportunity Institute,31,22
The Humane Society,Humane Society,24,29
The Soap and Detergent Association,Soap and Detergent Association,17,36
The Children's Health Environmental Coalition,Children's Health Environmental Coalition,2,51
The County Welfare Directors Association (CWDA),County Welfare Directors Association (CWDA),2,51
"The California Chapter, American College of Cardiology","California Chapter, American College of Cardiology",1,52
The Commercial Real Estate Development Association,Commercial Real Estate Development Association,1,52
The Institute of Scrap Recycling Industries,Institute of Scrap Recycling Industries,1,52
The Ojai Valley Land Conservancy,Ojai Valley Land Conservancy,1,52
The Sober Living Network,Sober Living Network,1,52
The Campaign for College Opportunity,Campaign For College Opportunity,49,3
The Translatin@ Coalition,Translatin@ Coalition,43,9
The Council of Mexican Federations,Council of Mexican Federations,13,39
The Greater Merced Chamber of Commerce,Greater Merced Chamber of Commerce,6,46
The Sonoma County Human Services Department,Sonoma County Human Services Department,4,48
the United Food & Commercial Workers,United Food & Commercial Workers,4,48
The Lumber Association of California & Nevada,Lumber Association of California & Nevada,3,49
The Zenith Insurance Company,Zenith Insurance Company,3,49
The Board of Vocational Nursing and Psychiatric Technicians,Board of Vocational Nursing and Psychiatric Technicians,2,50
The California Horse Racing Board,California Horse Racing Board,2,50
The Land Trust for Santa Barbara County,Land Trust for Santa Barbara County,2,50
the Land Trust for Santa Barbara County,Land Trust for Santa Barbara County,2,50
The California Board of Pharmacy,California Board of Pharmacy,1,51
The Central Coast Center for Independent Living,Central Coast Center for Independent Living,1,51
The Delta Protection Commission,Delta Protection Commission,1,51
The National Asian Pacific American Women's Forum,National Asian Pacific American Women's Forum,1,51
the San Francisco Domestic Violence Consortium,San Francisco Domestic Violence Consortium,1,51
The Wall Las Memorias Project,Wall Las Memorias Project,50,1
The Century Foundation,Century Foundation,47,4
The City Project,City Project,47,4
The Climate Reality Project: Silicon Valley,Climate Reality Project: Silicon Valley,47,4
The Office of Kat Taylor,Office of Kat Taylor,18,33
The Bicycle Casino,Bicycle Casino,4,47
The Women's Community Clinic,Women's Community Clinic,3,48
The Simon Wiesenthal Center,Simon Wiesenthal Center,2,49
The California Assisted Living Facilities Association,California Assisted Living Facilities Association,1,50
The California District Attorney Association,California District Attorney Association,1,50
The Chemehuevi Indian Tribe,Chemehuevi Indian Tribe,1,50
The Jockey's Guild,Jockey's Guild,1,50
The Justice Fellowship,Justice Fellowship,1,50
The Watershed Conservation Authority,Watershed Conservation Authority,1,50
the Humboldt Redwood Company LLC,Humboldt Redwood Company LLC,1,50
the National Electrical Contractors Association (NECA),National Electrical Contractors Association (NECA),1,50
the Watershed Conservation Authority,Watershed Conservation Authority,1,50
The League of California Homeowners,League of California Homeowners,19,31
"The Fund For Animals, Inc","Fund for Animals, Inc",18,32
The Legal Aid Society-Employment Law Center,Legal Aid Society-Employment Law Center,9,41
The Leukemia and Lymphoma Society,Leukemia and Lymphoma Society,9,41
The Lambda Letters,Lambda Letters,6,44
The Elkhorn Slough Foundation,Elkhorn Slough Foundation,5,45
The California Sportsmen's Lobby,California Sportsmen's Lobby,4,46
The California Hospital Association (CHA),California Hospital Association (CHA),3,47
The Printed Circuit Alliance,Printed Circuit Alliance,3,47
The Los Angeles Police,Los Angeles Police,2,48
The National Association of,National Association of,2,48
The National Association of Insurance and Financial Advisors of,National Association of Insurance and Financial Advisors of,2,48
The San Mateo County Child Care Partnership Council,San Mateo County Child Care Partnership Council,2,48
The California Association of Health Facilities (CAHF),California Association of Health Facilities (CAHF),1,49
The California State Parent Teachers Association,California State Parent Teachers Association,1,49
The Capitol Corridor Joint Powers Authority,Capitol Corridor Joint Powers Authority,1,49
The Greater Coachella Valley Chamber of Commerce,Greater Coachella Valley Chamber Of Commerce,29,20
The Group,Group,5,44
The National Trust For Historic Preservation,National Trust for Historic Preservation,3,46
The California Association of Mental Health Patients' Rights Advocates,California Association of Mental Health Patients' Rights Advocates,2,47
The California Shooting Sports Association,California Shooting Sports Association,2,47
The Council of UC Faculty Associations,Council of UC Faculty Associations,1,48
The Northern California,Northern California,1,48
The Riverside Sheriffs,Riverside Sheriffs,1,48
The Sacramento Central Labor Council,Sacramento Central Labor Council,1,48
The Walnut Creek Chamber of Commerce,Walnut Creek Chamber of Commerce,1,48
The Fresno Center,Fresno Center,47,1
The Sentencing Project,Sentencing Project,43,5
The Black Alliance for Just Immigration,Black Alliance for Just Immigration,22,26
The National Tax Limitation Committee,National Tax Limitation Committee,3,45
The Port of Los Angeles,Port of Los Angeles,3,45
The Law Center,Law Center,2,46
The American Shooting Sports Council,American Shooting Sports Council,1,47
The California Bankers Association (CBA),California Bankers Association (CBA),1,47
The SF-Marin Food Bank,SF-Marin Food Bank,1,47
the California Association of Mental Health Patients' Rights Advocates,California Association of Mental Health Patients' Rights Advocates,1,47
The California Attorneys for Criminal Justice,California Attorneys For Criminal Justice,26,21
The Student Empowerment Project,Student Empowerment Project,19,28
The San Joaquin Valley Housing Collaborative,San Joaquin Valley Housing Collaborative,7,40
"The Board for Professional Engineers, Land Surveyors, and Geologists","Board for Professional Engineers, Land Surveyors, and Geologists",3,44
The California Department of Food and Agriculture,California Department of Food and Agriculture,2,45
The Forest Products Industry National Labor Management Committee,Forest Products Industry National Labor Management Committee,2,45
The California Association for Health Services at Home (CAHSAH),California Association for Health Services at Home (CAHSAH),1,46
the John Stewart Company,John Stewart Company,1,46
The Fund for Animals Inc,Fund for Animals Inc,43,3
The Steven and Michele Kirsch Foundation,Steven and Michele Kirsch Foundation,4,42
The Haywood Burns Institute,Haywood Burns Institute,3,43
The Junior League of Orange County,Junior League of Orange County,3,43
the Wildlands Conservancy,Wildlands Conservancy,3,43
The Beverly-Vermont Community Land Trust,Beverly-Vermont Community Land Trust,2,44
The California Community Colleges Board of Governors,California Community Colleges Board of Governors,2,44
The California Manufacturers and Technology,California Manufacturers and Technology,2,44
THE DENTAL HEALTH FOUNDATION,Dental Health Foundation,1,45
The California Manufactures and Technology Association,California Manufactures and Technology Association,1,45
The Hayward Chamber of Commerce,Hayward Chamber of Commerce,1,45
The Imperial County Schools Advocacy Association,Imperial County Schools Advocacy Association,1,45
The Escondido Creek Conservancy,Escondido Creek Conservancy,22,23
The San Francisco Housing Accelerator Fund,San Francisco Housing Accelerator Fund,19,26
The Professional Insurance Agents Group,Professional Insurance Agents Group,5,40
The California Alliance for Pride and Equality (CAPE),California Alliance for Pride and Equality (CAPE),4,41
The Legal Aid Society-Employment law Center,Legal Aid Society-Employment Law Center,4,41
The American Legion Department of California,American Legion Department of California,3,42
The Center for Genetics and Society,Center for Genetics and Society,3,42
The WildLands Conservancy,Wildlands Conservancy,2,43
"The American Federation of State, County","American Federation of State, County",1,44
The Black Organizing Project,Black Organizing Project,1,44
The California Farm Labor Contractor Association,California Farm Labor Contractor Association,1,44
The Department of Boating and Waterways,Department of Boating and Waterways,1,44
The Inland Regional Center,Inland Regional Center,1,44
The Metropolitan Water District of Southern California,Metropolitan Water District Of Southern California,42,2
The Land Trust of Napa County,Land Trust of Napa County,7,37
The California Chapter of the American Planning Association,California Chapter of the American Planning Association,6,38
The National Association of Insurance and Financial Advisors,National Association of Insurance and Financial Advisors,4,40
The Huntington Beach Tree Society,Huntington Beach Tree Society,3,41
The California Association of Environmental Health Administrators (CAEHA),California Association of Environmental Health Administrators (CAEHA),1,43
The Institute for Justice,Institute for Justice,1,43
The North San Diego Business Chamber,North San Diego Business Chamber,1,43
the UC Student Association,UC Student Association,1,43
The Media Coalition,Media Coalition,35,8
The Gathering for Justice,Gathering for Justice,34,9
The Impact Fund,Impact Fund,25,18
The League of California Cities,League Of California Cities,21,22
The Education Trust West,Education Trust West,7,36
The Los Angeles Conservancy,Los Angeles Conservancy,5,38
The Polaris Project,Polaris Project,5,38
The Plasma Protein Therapeutics Association,Plasma Protein Therapeutics Association,3,40
The Civil Justice,Civil Justice,2,41
The Indivisibles of Sherman Oaks,Indivisibles of Sherman Oaks,2,41
The Association for California,Association for California,1,42
The California Professional,California Professional,1,42
The Center for Law and Social Policy,Center for Law and Social Policy,1,42
The Executive Council of Homeowners (ECHO),Executive Council of Homeowners (ECHO),1,42
"The Professional & Technical Engineers, IFPTE Local 21, AFL-CIO","Professional & Technical Engineers, IFPTE Local 21, AFL-CIO",1,42
the Building the Base Face to Face,Building the Base Face to Face,1,42
The Doctors' Company,Doctors' Company,33,9
The Humane Farming Association,Humane Farming Association,13,29
The Enterprise Foundation,Enterprise Foundation,12,30
The Community Action Fund of Planned Parenthood of Orange and San Bernardino Counties,Community Action Fund of Planned Parenthood of Orange and San Bernardino Counties,6,36
The Hertz,Hertz,4,38
The National Writers Union,National Writers Union,4,38
"The American College of Obstetricians and Gynecologists, District IX/CA","American College of Obstetricians and Gynecologists, District IX/CA",3,39
The San Francisco 49ers,San Francisco 49ers,3,39
The California Managed Risk Medical Insurance Board,California Managed Risk Medical Insurance Board,2,40
The Justice Teams Network,Justice Teams Network,2,40
The California Professional Firefighters (Co-Sponsor),California Professional Firefighters (Co-Sponsor),1,41
The Cigar Association of America,Cigar Association of America,1,41
The Cooperative of American Physicians,Cooperative of American Physicians,1,41
The Sierra Consortium,Sierra Consortium,1,41
The Western States Council,Western States Council,1,41
the Million Mom March,Million Mom March,1,41
the Western States Council,Western States Council,1,41
The Help Group,Help Group,36,5
The Ecological Options Network,Ecological Options Network,9,32
The California Healthcare Association (CHA),California Healthcare Association (CHA),6,35
The American Institute of Architects California Council,American Institute of Architects California Council,3,38
The Maritime Museum of San Diego,Maritime Museum of San Diego,3,38
The California Association of Professional,California Association of Professional,2,39
The Interment Association of California,Interment Association of California,2,39
The Youth,Youth,2,39
the NRDC,Nrdc,2,39
The California Foundation for Independent Living,California Foundation for Independent Living,1,40
The Resighini Rancheria,Resighini Rancheria,1,40
The Children's Clinic,Children's Clinic,37,3
The Institute of Popular Education of Southern California,Institute of Popular Education of Southern California,6,34
The California Dental Association (CDA),California Dental Association (CDA),5,35
The Western Insurance Agents Association,Western Insurance Agents Association,4,36
The Professional Engineers in California,Professional Engineers in California,2,38
The Center for Democracy and Technology,Center for Democracy and Technology,1,39
The City of Grass Valley,City of Grass Valley,1,39
The Human Response Network,Human Response Network,1,39
The Inland Urban Forest Council,Inland Urban Forest Council,1,39
The Los Angeles Beautification Team,Los Angeles Beautification Team,1,39
The NRDC,Nrdc,1,39
The Western Manufactured Housing Communities,Western Manufactured Housing Communities,1,39
The Planning and Conservation League,PLANNING AND CONSERVATION LEAGUE,37,2
The Better World Group,Better World Group,8,31
The Episcopal Diocese of Los Angeles,Episcopal Diocese of Los Angeles,5,34
The California Alliance Against Domestic,California Alliance Against Domestic,4,35
The Gay and Lesbian Community Services Center of Orange County,Gay and Lesbian Community Services Center of Orange County,4,35
The California Chapters of the Brady Campaign to Prevent Gun,California Chapters of the Brady Campaign to Prevent Gun,3,36
The Association of Financial Development Corporations,Association of Financial Development Corporations,2,37
The Church,Church,2,37
The Consulting Engineers and Land Surveyors of California (CELSOC),Consulting Engineers and Land Surveyors of California (CELSOC),2,37
The County Welfare Directors,County Welfare Directors,2,37
The Family Council,Family Council,2,37
The National Compadres Network,National Compadres Network,2,37
The VFW - Department of California,VFW - Department of California,2,37
The Association for,Association for,1,38
The Los Angeles Metropolitan Churches,Los Angeles Metropolitan Churches,1,38
the Association For,Association for,1,38
The Climate Alliance of Santa Cruz County,Climate Alliance of Santa Cruz County,37,1
"The American Legion, Department of California","American Legion, Department Of California",31,7
The Walt Disney Company,Walt Disney Company,21,17
The Non-Profit Housing Association of Northern California,Non-Profit Housing Association Of Northern California,13,25
The Society of the Plastics Industry,Society of the Plastics Industry,7,31
The Center for Young Women's Development,Center for Young Women's Development,3,35
The California Agricultural Commissioners and Sealers,California Agricultural Commissioners and Sealers,2,36
the Soap and Detergent Association,Soap and Detergent Association,2,36
The Alliance for Democracy,Alliance for Democracy,1,37
The San Francisco Bar Pilots Association,San Francisco Bar Pilots Association,1,37
The San Francisco Human Services Agency,San Francisco Human Services Agency,1,37
the Building Industry Association,Building Industry Association,1,37
the Climate First: Replacing Oil & Gas (CFROG),Climate First: Replacing Oil & Gas (CFROG),1,37
the County Welfare Directors,County Welfare Directors,1,37
The Geriatric Circle,Geriatric Circle,36,1
The Chamber of the Santa Barbara Region,Chamber of the Santa Barbara Region,32,5
The Hustler Casino,Hustler Casino,9,28
The California State University (CSU),California State University (CSU),5,32
The Center for Independent Living,Center for Independent Living,5,32
The Legal Aid Society Employment Law Center,Legal Aid Society Employment Law Center,4,33
The Alliance for Children's Rights (Co-Sponsor),Alliance for Children's Rights (Co-Sponsor),3,34
the NAACP,NAACP,3,34
The California Society of Dermatology & Dermatologic Surgery,California Society of Dermatology & Dermatologic Surgery,2,35
The Northern California Land Trust,Northern California Land Trust,2,35
The Regional Hispanic Chamber of Commerce,Regional Hispanic Chamber of Commerce,2,35
the Association of Claims Professionals,Association of Claims Professionals,2,35
The City of Jackson,City of Jackson,1,36
The Civil Justice Association,Civil Justice Association,1,36
The State Privacy and Security Coalition,State Privacy and Security Coalition,1,36
the Bakersfield College,Bakersfield College,1,36
the Los Angeles County Probation Officers Union AFSCME Local 685,Los Angeles County Probation Officers Union AFSCME Local 685,1,36
The Trust For Public Land,TRUST FOR PUBLIC LAND,35,1
The Salvation Army,Salvation Army,25,11
The Harriett Buhai Center for Family Law,Harriett Buhai Center for Family Law,6,30
The Jacobs & Cushman San Diego Food Bank,Jacobs & Cushman San Diego Food Bank,5,31
The American Plastics Council,American Plastics Council,3,33
the Center for Public Environmental Oversight,Center for Public Environmental Oversight,3,33
The Children's,Children's,2,34
the University of the Pacific,University of the Pacific,2,34
The American Civil Liberties Union of California Center for Advocacy and Policy,American Civil Liberties Union of California Center for Advocacy and Policy,1,35
The Bay Area Partnership,Bay Area Partnership,1,35
The California Medical Transportation Association,California Medical Transportation Association,1,35
The Office of Insurance Advisor,Office of Insurance Advisor,1,35
"The Climate Reality Project, San Fernando Valley Chapter","Climate Reality Project, San Fernando Valley Chapter",22,13
the bill),bill),13,22
The Greenling Institute,Greenling Institute,11,24
The Climate Reality Project - Silicon Valley Chapter,Climate Reality Project - Silicon Valley Chapter,10,25
The American Waterways Operators,American Waterways Operators,7,28
The Bicycle Club,Bicycle Club,5,30
The AIDS Service Center,AIDS Service Center,4,31
The Domestic Abuse Center,Domestic Abuse Center,2,33
The Educational Community for Homeowners,Educational Community for Homeowners,2,33
The Secular Coalition for California,Secular Coalition for California,2,33
The Transformative In-Prison Workgroup,Transformative In-Prison Workgroup,2,33
The Attorney Generalos Office,Attorney Generalos Office,1,34
The LAX Coastal Chamber of Commerce,LAX Coastal Chamber of Commerce,1,34
The Legal Aid Society of Orange County,Legal Aid Society of Orange County,1,34
The Solano County Fair,Solano County Fair,1,34
The State Department of Mental Health,State Department of Mental Health,1,34
the Association of California Life and Health Insurance Companies (ACLHIC),Association of California Life and Health Insurance Companies (ACLHIC),1,34
The Law Foundation of Silicon Valley,Law Foundation Of Silicon Valley,31,3
The River Otter Ecology Project,River Otter Ecology Project,29,5
The Environmental Justice Coalition for Water,Environmental Justice Coalition For Water,23,11
The Cambodian Family Community Center,Cambodian Family Community Center,15,19
The Greater Corona Valley Chamber of Commerce,Greater Corona Valley Chamber of Commerce,15,19
The Cleaner Air Partnership,Cleaner Air Partnership,9,25
The Environmental Council of Sacramento,Environmental Council of Sacramento,3,31
The Federation for American Immigration Reform,Federation for American Immigration Reform,3,31
The Metropolitan Transportation Authority,Metropolitan Transportation Authority,3,31
The Religious Sisters of Charity,Religious Sisters of Charity,3,31
The Los Angeles County Board of,Los Angeles County Board of,2,32
The Torres Martinez Desert Cahuilla Indians,Torres Martinez Desert Cahuilla Indians,2,32
The Boeing,Boeing,1,33
The California Alliance for,California Alliance for,1,33
The California Association of Area Agencies on Aging (C4A),California Association of Area Agencies on Aging (C4A),1,33
The California Milk Producers,California Milk Producers,1,33
The California Sportfishing League,California Sportfishing League,1,33
The Howard Jarvis Taxpayers,Howard Jarvis Taxpayers,1,33
The National Animal Interest Alliance,National Animal Interest Alliance,1,33
The National Association of Consumer Advocates,National Association of Consumer Advocates,1,33
The National Hispanic Media Coalition,National Hispanic Media Coalition,1,33
The Southern California Coalition for Occupational Safety and Health,Southern California Coalition for Occupational Safety and Health,1,33
the California Taxpayer Protection Committee,California Taxpayer Protection Committee,1,33
the Coastal Corridor Alliance,Coastal Corridor Alliance,1,33
the East Bay,East Bay,1,33
the Marin Clean Energy (MCE),Marin Clean Energy (MCE),1,33
The University of California,University Of California,30,3
the Advancement of Colored People,Advancement of Colored People,29,4
The Animal Rescue Mission,Animal Rescue Mission,20,13
"The National Association of Social Workers, California Chapter","National Association Of Social Workers, California Chapter",12,21
The Mule Deer Foundation,Mule Deer Foundation,11,22
The Legal Aid Society,Legal Aid Society,10,23
The California Adoption Alliance,California Adoption Alliance,5,28
The California Association of Private Postsecondary Schools (CAPPS),California Association of Private Postsecondary Schools (CAPPS),5,28
The Happy City Coalition,Happy City Coalition,5,28
The Vet Voice Foundation,Vet Voice Foundation,5,28
The Driving School Association of the Americas,Driving School Association of the Americas,3,30
The California Newspaper Publishers Association (CNPA),California Newspaper Publishers Association (CNPA),2,31
The Jamul Indian Village,Jamul Indian Village,2,31
The Association of Low Wealth Schools,Association of Low Wealth Schools,1,32
The California Asian Pacific Islander Chamber of Commerce,California Asian Pacific Islander Chamber of Commerce,1,32
The California Department of Aging,California Department of Aging,1,32
The Card Coalition,Card Coalition,1,32
The Coachella Valley Unified School District,Coachella Valley Unified School District,1,32
The Collision Repair Association of California,Collision Repair Association of California,1,32
The Northern California Association of Counsel for Children,Northern California Association of Counsel for Children,1,32
The Personal Insurance,Personal Insurance,1,32
The Transportation Corridor Agencies of Orange County,Transportation Corridor Agencies of Orange County,1,32
"the Center on Race, Poverty, & the Environment","Center on Race, Poverty, & the Environment",1,32
The Last Beach Cleanup,Last Beach Cleanup,30,2
"The Climate Reality Project, California State Coalition","Climate Reality Project, California State Coalition",29,3
The Jewish Federation,Jewish Federation,25,7
The Fire Restoration Group,Fire Restoration Group,22,10
The Child Abuse Prevention Council,Child Abuse Prevention Council,5,27
The State Bar Family Law Section,State Bar Family Law Section,5,27
the LA Waterkeeper,LA Waterkeeper,5,27
The California Alliance of Child and Family,California Alliance of Child and Family,2,30
The Committee on Moral,Committee on Moral,2,30
The Judicial Council of CA,Judicial Council of CA,2,30
The Wireless Infrastructure Association,Wireless Infrastructure Association,2,30
The Alameda-Contra Costa Medical Association,Alameda-Contra Costa Medical Association,1,31
The American Society for Dermatologic Surgery Association,American Society for Dermatologic Surgery Association,1,31
The California Behavioral Health Directors Association,California Behavioral Health Directors Association,1,31
The Center for Third World Organizing,Center for Third World Organizing,1,31
"The Engineers and Scientists of California, MEBA, AFL-CIO","Engineers and Scientists of California, MEBA, AFL-CIO",1,31
The Enterprise Rancheria,Enterprise Rancheria,1,31
The League of Women Voters California,League of Women Voters California,1,31
The Office of,Office of,1,31
the Outward Bound Adventures,Outward Bound Adventures,1,31
The Conservation Fund,Conservation Fund,28,3
The Sportfishing Conservancy,Sportfishing Conservancy,20,11
The American College of,American College of,8,23
The Distilled Spirits Council,Distilled Spirits Council,6,25
The TMJ Society of California,TMJ Society of California,6,25
The Instituto de Educacion Popular del Sur de California,Instituto De Educacion Popular Del Sur De California,4,27
The American Red Cross of California,American Red Cross of California,3,28
The Association for Unmanned Vehicle Systems International,Association for Unmanned Vehicle Systems International,3,28
The Industrial Association of Contra Costa County,Industrial Association of Contra Costa County,2,29
The International Council of Cruise Lines,International Council of Cruise Lines,2,29
The American Economic Liberties Project,American Economic Liberties Project,1,30
The Board of Chiropractic Examiners,Board of Chiropractic Examiners,1,30
The Coalition of California Compensation Companies,Coalition of California Compensation Companies,1,30
The College,College,1,30
The Emergency Medical Services Administrators Association,Emergency Medical Services Administrators Association,1,30
The Faculty Association of California Community Colleges (FACCC),Faculty Association of California Community Colleges (FACCC),1,30
The Fair Share Network,Fair Share Network,1,30
The League of Women Prosecutors,League of Women Prosecutors,1,30
The Resources Agency,Resources Agency,1,30
The Speech-Language Pathology and Audiology and Hearing Aid Dispensers Board,Speech-Language Pathology and Audiology and Hearing Aid Dispensers Board,1,30
The Wholly H2O,Wholly H2o,1,30
The Association for Los Angeles Deputy Sheriffs,Association For Los Angeles Deputy Sheriffs,29,1
The Arc of Ventura County,Arc of Ventura County,25,5
"The Cat Fanciers' Association, Inc","Cat Fanciers' Association, Inc",21,9
The Responsible Business Lending Coalition,Responsible Business Lending Coalition,11,19
The Greater Antelope Valley Economic Alliance,Greater Antelope Valley Economic Alliance,6,24
The Association of Plastic Recyclers,Association of Plastic Recyclers,5,25
The California Cable & Telecommunications Association (CCTA),California Cable & Telecommunications Association (CCTA),4,26
The Association of California Life and Health,Association of California Life and Health,3,27
The Family,Family,3,27
The Jockeys Guild,Jockeys Guild,3,27
The National Association of Theatre Owners of California,National Association of Theatre Owners of California,3,27
The Pharmaceutical Research and Manufacturers of America (PhRMA),Pharmaceutical Research and Manufacturers of America (PhRMA),3,27
The Relational Culture Institute,Relational Culture Institute,3,27
"The American Academy of Pediatrics, California","American Academy Of Pediatrics, California",2,28
The California Association of Clerks and Election,California Association of Clerks and Election,2,28
The National Organization of Women,National Organization of Women,2,28
The Western Center on Law and Poverty (Co-Sponsor),Western Center on Law and Poverty (Co-Sponsor),2,28
the Breathe California Sacramento Region,Breathe California Sacramento Region,2,28
The California Attorney's for Criminal Justice,California Attorney's for Criminal Justice,1,29
The California Immigrant Policy Center (CIPC),California Immigrant Policy Center (CIPC),1,29
The National Collegiate Athletic Association,National Collegiate Athletic Association,1,29
The State Board of Control,State Board of Control,1,29
The West Company,West Company,1,29
the Communitiy Water Center,Communitiy Water Center,1,29
the National Electric Contractors Association,National Electric Contractors Association,1,29
