conjoined_text,mapped_orgs
AB 2788 - 06/01/94 Los Angeles County Professional Peace Officers Association Los Angeles County Sheriffs,LOS ANGELES COUNTY PROFESSIONAL PEACE OFFICERS ASSOCIATION ; Los Angeles County Sheriff
"AB 3013, California Society of Clinical Social Work",California Society for Clinical Social Workers
AB 3075 - Klehs California Manufacturing & Technology Association Cal-Tax,CALIFORNIA MANUFACTURERS & TECHNOLOGY ASSOCIATION ; Cal Tax
"AB Cities of Los Angeles, San Jose, San Diego, Sacramento, Oakland and National City",City of Los Angeles ; City of San Jose ; City of San Diego ; City of Sacramento ; City of Oakland ; City of National City
ABATE California Motorcycle Dealers Association,ABATE ; California Motorcycle Dealers Association
"ABATE, Local Chapters 1, 6, 10, 19, 23, 25, 27, 28, 34, 38, 44",ABATE
"ABC Project, Director of A Local Affiliate of The Dolly Parton Imagination Library",ABC Project ; Dolly Parton's Imagination Library
"ABC, NBC, CBS, CNN and Court-TV",American Broadcasting Company (ABC) ; National Broadcasting Corporation (NBC) ; CBS ; CNN ; Court TV
ACLHIC and AHIP,Association of California Life & Health Insurance Companies (ACLHIC) ; AHIP (America's Health Insurance Plans)
ACLHIC and CAHP,Association of California Life & Health Insurance Companies (ACLHIC) ; The California Association of Health Plans (CAHP)
ACLU Members for LPS Reform - Los Angeles Alliance for the Mentally Ill - Coachella Valley,ACLU Members for LPS Reform ; Alliance for the Mentally Ill - Coachella Valley
ACLU and California Attorneys for Criminal Justice,ACLU ; California Attorneys for Criminal Justice (CACJ)
ACLU and California Public Defenders,ACLU ; CA PUBLIC DEFENDERS ASSOCIATION
ACLU and California Public Defenders Association,ACLU ; CA PUBLIC DEFENDERS ASSOCIATION
"ACLU, California Attorney's for Criminal Justice",ACLU ; CALIFORNIA ATTORNEY'S FOR CRIMINAL JUSTICE
"ACLU, Electronic Frontier Foundation",ACLU ; ELECTRONIC FRONTIER FOUNDATION
"ACLU, Electronic Frontier Foundation, Common Sense Kids Action, Consumer Federation, Privacy Rights Clearinghouse",ACLU ; ELECTRONIC FRONTIER FOUNDATION ; Common Sense Kids Action ; Consumer Federation ; PRIVACY RIGHTS CLEARINGHOUSE
ACORN Financial Justice Center and ACORN California,ACORN Financial Justice Center ; ACORN California
ACTCM and PCOM,ACTCM ; PCOM
ACVS Veterinary Surgeon American Emergency Clinic American Holistic Veterinary Medical Association American Holistic Veterinary Medical Foundation Animal Urgent Care,ACVS Veterinary Surgeon ; American Emergency Clinic ; American Holistic Veterinary Medical Association ; American Holistic Veterinary Medical Foundation ; Animal Urgent Care
"ACWA, San Diego County Water Authority",Association of California Water Agencies ; San Diego County Water Authority
AFL- CIO California Credit Union League (CCUL),AFL-CIO ; California Credit Union League (CCUL)
AFL-CIO & Vaca Valley Chiropractic,AFL-CIO ; Vaca Valley Chiropractic
AFL-CIO (AFSCME) California Labor Federation,"American Federation of State, County and Municipal Employees (AFSCME) ; California Labor Federation"
AFL-CIO (AFSCME) Peace Officers Research Association of California,"American Federation of State, County and Municipal Employees (AFSCME) ; Peace Officers Research Association of California"
AFL-CIO (prior version) League of Women Voters of California,AFL-CIO ; League of Women Voters of California
AFL-CIO AYPAL: Building API Community Power California Employment Lawyers Association California Immigrant Policy Center California Labor Federation,AFL-CIO ; Aypal: Building Api Community Power ; California Employment Lawyers Association ; California Immigrant Policy Center ; California Labor Federation
AFL-CIO American Academy of Pediatrics,AFL-CIO ; American Academy of Pediatrics
AFL-CIO American Federation of Television and Radio Artists,AFL-CIO ; American Federation of Television and Radio Artists
AFL-CIO Asian Law Caucus Union of Needletrades,AFL-CIO ; Asian Law Caucus ; Union of Needletrades
AFL-CIO Association for Los Angeles Deputy Sheriffs (ALADS) Los Angeles Probation Officers' Union,Association for Los Angeles Deputy Sheriffs (ALADS) ; Los Angeles Probation Officers Union
AFL-CIO Association of Federal,AFL-CIO
AFL-CIO Association of Los Angeles Deputy Sheriffs Los Angeles Probation Officers' Union,Association for Los Angeles Deputy Sheriffs ; Los Angeles Probation Officers Union
AFL-CIO Biocom California Children's Hospital Association,AFL-CIO ; Biocom ; California Children's Hospital Association
AFL-CIO Blanca Alvarado,AFL-CIO
AFL-CIO Brady Campaign to Prevent Gun Violence,AFL-CIO ; Brady Campaign to Prevent Gun Violence
AFL-CIO Brotherhood of Locomotive Engineers & Trainmen,AFL-CIO ; Brotherhood of Locomotive Engineers & Trainmen
AFL-CIO CA Tax Reform Association CA Teamsters Public Affairs Council Consumer Federation of CA Dan Baker,AFL-CIO ; California Tax Reform Association ; California Teamsters Public Affairs Council ; Consumer Federation of California
AFL-CIO Calfiornia Conference Board,AFL-CIO ; California Conference Board
AFL-CIO California Association of Clerks and Election Officials,AFL-CIO ; CALIFORNIA ASSOCIATION OF CLERKS AND ELECTION OFFICIALS
AFL-CIO California Association of Highway Patrolmen,AFL-CIO ; CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN
AFL-CIO California Biodiesel Alliance Crimson Renewable Energy,AFL-CIO ; California Biodiesel Alliance ; Crimson Renewable Energy
AFL-CIO California Catholic Conference,AFL-CIO ; California Catholic Conference
AFL-CIO California Court Reporters Association Service Employees International Union,AFL-CIO ; California Court Reporters Association ; Service Employees International Union
AFL-CIO California Exposition and State Fair Norman C. Towne,AFL-CIO ; California Exposition & State Fair
AFL-CIO California Federation of Teachers California School Boards Association David Kakishiba,AFL-CIO ; California Federation of Teachers ; California School Boards Association
AFL-CIO California Federation of Teachers California School Employees Association,AFL-CIO ; California Federation of Teachers ; California School Employees Association
AFL-CIO California Labor Federation Laborers' International Union of North America,AFL-CIO ; California Labor Federation ; Laborers' International Union of North America
AFL-CIO California Labor Federation Service Employees International Union,AFL-CIO ; California Labor Federation ; Service Employees International Union
AFL-CIO California League of United Latin American Citizens California Teachers Association Central Labor Council Contra Costa County,AFL-CIO ; LEAGUE OF UNITED LATIN AMERICAN CITIZENS ; California Teachers Association ; Central Labor Council of Contra Costa County
AFL-CIO California Newspaper Publishers Association,AFL-CIO ; California Newspaper Publishers Association
AFL-CIO California Pan-Ethnic Health Network Health Access California Service Employees International Union,AFL-CIO ; CALIFORNIA PAN-ETHNIC HEALTH NETWORK ; Health Access California ; Service Employees International Union
AFL-CIO California Podiatric Medical Association,AFL-CIO ; California Podiatric Medical Association
AFL-CIO California Professional Firefighters,AFL-CIO ; California Professional Firefighters
AFL-CIO California Professional Firefighters California School Employees Association,AFL-CIO ; California Professional Firefighters ; California School Employees Association
AFL-CIO California Professional Firefighters California School Employees Association United Domestic Workers/ American Federation of State,"AFL-CIO ; California Professional Firefighters ; California School Employees Association ; United Domestic Workers ; American Federation of State, County and Municipal Employees (AFSCME)"
AFL-CIO California Psychiatric Association,AFL-CIO ; California Psychiatric Association
AFL-CIO California Right to Life Committee,AFL-CIO ; California Right to Life Committee
AFL-CIO California Rural Legal Assistance,AFL-CIO ; California Rural Legal Assistance
AFL-CIO California Rural Legal Assistance Foundation (CRLAF),AFL-CIO ; California Rural Legal Assistance Foundation (CRLAF)
AFL-CIO California School Employees Association National Association of Social Workers,AFL-CIO ; California School Employees Association ; National Association of Social Workers
AFL-CIO California State Council of Laborers American Federation of State,"AFL-CIO ; California State Council of Laborers ; American Federation of State, County and Municipal Employees (AFSCME)"
AFL-CIO California State Council of Laborers California Labor Federation,AFL-CIO ; California State Council of Laborers ; California Labor Federation
AFL-CIO California State Legislative Board of Sheet Metal,"AFL-CIO ; CA State Legislative Board, Sheet Metal, Air, Rail and Transportation Workers"
AFL-CIO California Teachers Association National Association of Social Workers,AFL-CIO ; California Teachers Association ; National Association of Social Workers
AFL-CIO California Teachers Association Santa Paula Unified School District Personnel Commission,AFL-CIO ; California Teachers Association ; Santa Paula Unified School District Personnel Commission
AFL-CIO California Teachers Association State Building and Construction Trades Council,AFL-CIO ; California Teachers Association ; State Building and Construction Trades Council
AFL-CIO California Teamsters Public Affairs Council International Union of Operating Engineers,AFL-CIO ; California Teamsters Public Affairs Council ; International Union of Operating Engineers
AFL-CIO California Teamsters Public Affairs Council United Farm Workers of America,AFL-CIO ; California Teamsters Public Affairs Council ; United Farm Workers of America
AFL-CIO California Teamsters Public Affairs Council United Food & Commercial Workers,AFL-CIO ; California Teamsters Public Affairs Council ; United Food & Commercial Workers
AFL-CIO California-Nevada Conference of Operating Engineers American Federation of State,"AFL-CIO ; California-Nevada Conference of Operating Engineers ; American Federation of State, County and Municipal Employees (AFSCME)"
AFL-CIO Californians Against Waste United Food and Commercial Workers,AFL-CIO ; Californians Against Waste ; United Food and Commercial Workers
AFL-CIO Capdet,AFL-CIO
AFL-CIO Carlsbad Firefighters Association,AFL-CIO ; Carlsbad Firefighters Association
AFL-CIO Central Labor Council Fresno,"AFL-CIO ; Central Labor Council, Fresno"
AFL-CIO Chinese for Affirmative Action Garment Worker Center Five Counties Central Labor Council Laane A New Economy For All Los Angeles County Federation of Labor,AFL-CIO ; Chinese for Affirmative Action ; Garment Worker Center ; Five Counties Central Labor Council ; Los Angeles Alliance for a New Economy (LAANE) ; Los Angeles County Federation of Labor
AFL-CIO City of Santa Monica,AFL-CIO ; City of Santa Monica
AFL-CIO Community College League of California,AFL-CIO ; Community College League of California
AFL-CIO Consumer Attorneys of California Los Angeles County District Attorney's Office,AFL-CIO ; Consumer Attorneys of California ; Los Angeles County District Attorney's Office
AFL-CIO Consumer Attorneys of California UNITE-HERE,AFL-CIO ; Consumer Attorneys of California ; UNITE HERE
AFL-CIO Engineers & Scientists of California,AFL-CIO ; Engineers & Scientists of California
AFL-CIO Equality California,AFL-CIO ; Equality California
AFL-CIO Generation Up,AFL-CIO ; Generation Up
AFL-CIO Health Access California The 100% Campaign (The Children's Partnership),AFL-CIO ; Health Access California ; The 100% Campaign (The Children's Partnership)
AFL-CIO Howard Jarvis Taxpayers Association (prior version) Service Employees International Union,AFL-CIO ; Howard Jarvis Taxpayers Association ; Service Employees International Union
AFL-CIO Inland Empire Labor Council,AFL-CIO ; Inland Empire Labor Council
AFL-CIO International Federation of Professional & Technical Engineers,AFL-CIO ; International Federation of Professional & Technical Engineers
AFL-CIO International Longshore and Warehouse Union,AFL-CIO ; International Longshore and Warehouse Union
AFL-CIO Jack and Jill of America,AFL-CIO ; Jack and Jill of America
AFL-CIO LGBTQ+ Inclusivity,"AFL-CIO ; LGBTQ+ Inclusivity, Visibility, and Empowerment"
AFL-CIO League of California Cities,AFL-CIO ; League of California Cities
AFL-CIO League of Women Voters,AFL-CIO ; League of Women Voters
AFL-CIO Los Angeles Unified School District,AFL-CIO ; Los Angeles Unified School District
AFL-CIO Los Angeles Unified School District University of California,AFL-CIO ; Los Angeles Unified School District ; University of California
AFL-CIO Maintenance Cooperation Trust Fund,AFL-CIO ; Maintenance Cooperation Trust Fund
AFL-CIO Marin County Council of Mayors and Councilmembers Union of Concerned Scientists,AFL-CIO ; Marin County Council of Mayors and Councilmembers ; Union of Concerned Scientists
AFL-CIO Monterey Bay Central Labor Council,AFL-CIO ; Monterey Bay Central Labor Council
AFL-CIO National Council of Asian Pacific Islander Physicians American Diabetes Association,AFL-CIO ; National Council of Asian Pacific Islander Physicians ; American Diabetes Association
AFL-CIO Orange County Professional Firefighters Association,AFL-CIO ; Orange County Professional Firefighters Association
AFL-CIO Pacific Merchant Shipping Association,AFL-CIO ; Pacific Merchant Shipping Association
AFL-CIO Peace Officers' Research Association of California American Federation of State,"AFL-CIO ; Peace Officers' Research Association of California ; American Federation of State, County and Municipal Employees (AFSCME)"
AFL-CIO Professional Engineers in California Government Service Employees International Union,AFL-CIO ; Professional Engineers in California Government ; Service Employees International Union
AFL-CIO Professional Engineers in State Government Service Employees International Union,AFL-CIO ; Professional Engineers in State Government ; Service Employees International Union
AFL-CIO Region 8 States Council of the United Food & Commercial Workers,AFL-CIO ; Region 8 States Council of the United Food & Commercial Workers
AFL-CIO Resource Center Teamsters Joint Council 42,AFL-CIO ; Teamsters Joint Council No. 42
AFL-CIO Riverside Sheriffs Association,AFL-CIO ; Riverside Sheriffs Association
AFL-CIO Rockard Delgadillo,"AFL-CIO ; Rockard J. Delgadillo, Office of the City Attorney"
AFL-CIO Sacramento Central Labor Council,AFL-CIO ; Sacramento Central Labor Council
AFL-CIO San Diego County Taxpayers Association Bill Schwandt,AFL-CIO ; San Diego County Taxpayers Association
AFL-CIO San Francisco Labor Council,AFL-CIO ; San Francisco Labor Council
AFL-CIO Service Employees International Union CA State Council,"AFL-CIO ; Service Employees International Union, CA State Council"
AFL-CIO Sheriff John L. Scott,"AFL-CIO ; John L. Scott, Sheriff"
AFL-CIO The California Applicant Attorneys Association The National Association of Social Workers,AFL-CIO ; California Applicant Attorneys Association ; National Association of Social Workers
AFL-CIO The California Tax Reform Association The American Federation of State,"AFL-CIO ; California Tax Reform Association ; American Federation of State, County and Municipal Employees (AFSCME)"
AFL-CIO The College Board,AFL-CIO ; The College Board
AFL-CIO U.A.W. Local 148,AFL-CIO ; U.A.W. Local 148
AFL-CIO Union of Needle Trades,AFL-CIO ; Union of Needle Trades
AFL-CIO United Farm Workers United Food and Commercial Workers,AFL-CIO ; United Farm Workers ; United Food and Commercial Workers
AFL-CIO United Farm Workers of America,AFL-CIO ; United Farm Workers of America
AFL-CIO United Food and Commercial Workers,AFL-CIO ; United Food and Commercial Workers
AFL-CIO United Food and Commercial Workers Union,AFL-CIO ; United Food and Commercial Workers Union
AFL-CIO United Nurses Associations of California,AFL-CIO ; United Nurses Associations of California
AFL-CIO University of California,AFL-CIO ; University of California
AFL-CIO Veterans Caucus,AFL-CIO ; Veterans Caucus
AFL-CIO West Covina Police Department,AFL-CIO ; West Covina Police Department
AFL-CIO Western Center on Law and Poverty,AFL-CIO ; Western Center on Law and Poverty
AFSCME AtHoc,"AFSCME ; AtHoc, Inc"
AFSCME National Association of Social Workers,AFSCME ; National Association of Social Workers
AFSCME and La Raza Roundtable,AFSCME ; La Raza Roundtable
AFSCME and SEIU Local 1000,AFSCME ; SEIU Local 1000
"AFSCME, American Lung Association of Los",AFSCME ; American Lung Association of Los Angeles
"AFSCME, Association of California Water",AFSCME ; Association of California Water Agencies
"AFSCME, Azusa, California Alliance for Consumer",AFSCME ; California Alliance for Consumer
"AFSCME, California Federation of Teacher",AFSCME ; California Federation of Teachers
"AFSCME, California Professional Firefighters, California State Firefighters' Association",AFSCME ; California Professional Firefighters ; California State Firefighters' Association
"AFSCME, Clean Water Action, California",AFSCME ; Clean Water Action
"AFSCME, Planning and Conservation League, Sierra Club California",AFSCME ; Planning and Conservation League ; Sierra Club California
AIDS Healthcare Foundation: California Commission on Aging,AIDS Healthcare Foundation ; California Commission on Aging
AIDS Healthcare Foundation: California Nurses Association,AIDS Healthcare Foundation ; California Nurses Association
"AIDS Project Central Coast, Pacific Pride Foundation",AIDS Project Central Coast ; Pacific Pride Foundation
"AIDS Project Los Angeles, American Federation of State, County and Municipal Employees, Association of California Water Agencies, Attorney General, State of California, Breast","AIDS Project Los Angeles ; American Federation of State, County and Municipal Employees (AFSCME) ; Association of California Water Agencies ; Attorney General, State of California"
"AMCAL Multi-Housing, Bay Area Community Land Trust, Beverly-Vermont Community Land Trust, Bolina Community Land Trust, California Association of Local Housing Finance Agencies, California Housing Consortium, Community Land Trust Association of Western Marin, The Dellums Institute of Social Justice, Enterprise Community Partners, Greenlining Institute, Grounded Solutions Network, Habitat for Humanity, Housing Land Trust of Sonoma County, Irvine Community Land Trust, Marty's House Affordable Housing Corporation, Northern California Land Trust, Oakland Community Land Trust, PolicyLink, Preserving Affordable Housing Assets Longterm Incorporated",AMCAL Multi-Housing ; Bay Area Community Land Trust ; Beverly-Vermont Community Land Trust ; Bolinas Community Land Trust ; California Association of Local Housing Finance Agencies ; California Housing Consortium ; Community Land Trust Association of Western Marin ; The Dellums Institute of Social Justice ; Enterprise Community Partners ; Greenlining Institute ; Grounded Solutions Network ; Habitat for Humanity ; Housing Land Trust of Sonoma County ; Irvine Community Land Trust ; Marty's House Affordable Housing Corporation ; Northern California Land Trust ; Oakland Community Land Trust ; PolicyLink ; Preserving Affordable Housing Assets Longterm Incorporated
AMD American Electronics Association California Aerospace Technology Association California Manufacturers Association (CMA),AMD ; American Electronics Association ; California Aerospace Technology Association ; California Manufacturers Association (CMA)
"AMERICAN PLANNING ASSOCIATION, CALIFORNIA CHAPTER ASSOCIATION OF BAY AREA GOVERNMENTS","American Planning Association, California Chapter ; Association of Bay Area Governments"
"AMMCOR, California Association of Community",AMMCOR ; California Association of Community
"APCD, Kern County APCD, Kern Ross Estates, Monterey Bay Unified APCD, Planning and Conservation League, San Diego County APCD",Kern County APCD ; Kern Ross Estates ; Monterey Bay Unified Air Pollution Control District ; Planning and Conservation League ; San Diego County APCD
APEN California Bicycle Coalition California Coastal Protection Network California League of Conservation Voters Endangered Habitats League (also),APEN ; California Bicycle Coalition ; California Coastal Protection Network ; California League of Conservation Voters ; Endangered Habitats League
"APL Limited, ARCO Products Company, California",APL Limited ; ARCO Products Company
"APLA Health, the California Association of Alcohol and Drug Program Executives, the California Society of Addiction Medicine, and Equality California, HealthRIGHT",APLA Health ; California Association of Alcohol and Drug Program Executives ; California Society of Addiction Medicine ; Equality California ; HealthRIGHT
"APM Terminals, California Chamber of Commerce, California Taxpayers Association, California",APM Terminals ; California Chamber of Commerce ; California Taxpayers Association
"APM Terminals, California Chamber of Commerce, California Trade Coalition, Hanjin Shipping",APM Terminals ; California Chamber of Commerce ; California Trade Coalition ; Hanjin Shipping
"ARCO, California Independent Oil Marketers",ARCO ; California Independent Oil Marketers Association
"ARCO, California Independent Oil Marketers Association",ARCO ; California Independent Oil Marketers Association
"ARIS of Santa Clara County: Fiedler Financial, Life Benefit Services",ARIS of Santa Clara County ; Fiedler Financial ; Life Benefit Services
AT&T California Cable and Telecommunications Association,AT&T ; California Cable and Telecommunications Association
"AT&T Wireless Ms. Marylu Korkuch, Technology Theft Prevention Foundation",AT&T Wireless ; Technology Theft Prevention Foundation
AT&T and MCI,AT&T ; MCI
"AT&T, California Independent Telephone Companies, California Taxpayers' Association, Southern California Edison, SureWest Communications",AT&T ; California Independent Telephone Companies ; California Taxpayers' Association ; Southern California Edison ; SureWest Communications
"AT&T, Verizon, and Frontier",AT&T ; Verizon ; Frontier Communications
"Abatement District, Planning and Conservation",Abatement District ; Planning and Conservation League
"Abatement Jt. Powers Auth.: Concord Police Department, League of California Cities",Abatement Jt. Powers Auth ; Concord Police Department ; League of California Cities
"Abbott Laboratories, American Plastics Council, California Chamber of Commerce, California",Abbott Laboratories ; American Plastics Council ; California Chamber of Commerce
"Abercrombie & Co. Broker (Santa Barbara, CA): AIDS Legal Referral Panel, AIDS Project Los Angeles","Abercrombie & Co., Broker ; AIDS Legal Referral Panel ; AIDS Project Los Angeles"
"Access Services, Inc. California Transit","Access Services, Inc. ; California Transit Association"
"Access Services, Inc. California Transit Association","Access Services, Inc. ; California Transit Association"
"Acclamation Insurance Management Services, Allied Managed Care, California Chapter of the American Fence Association",Acclamation Insurance Management Services ; Allied Managed Care ; California Chapter of the American Fence Association
Accredited Out-of-State Colleges and Universities in California Corinthian Colleges,Accredited Out-of-State Colleges and Universities in California ; Corinthian Colleges
Accrediting Commission for Senior Colleges and Universities and the Accrediting Commission for Community and Junior Colleges of WASC are,Accrediting Commission for Senior Colleges and Universities ; Accrediting Commission for Community and Junior Colleges
"Action Council, Project Islamic HOPE, Sierra",Project Islamic Hope
"Action Fund, Literacy for Environmental",Literacy for Environmental Justice
"Action Now, American Lung Association, Breast",American Lung Association ; Breast Cancer Action
Action Sales & Metal Co. Inc. Amador County Environmental Service Auburn Placer Disposal Service,Action Sales & Metal Company ; Amador County Environmental Service ; Auburn Placer Disposal Service
"Action, California Congress of Parents, Teachers, and Students, Inc., California Nurses","California Congress of Parents, Teachers and Students, Inc. ; California Nurses Association"
"Action, Coalition for Clean Air, Comite",Coalition for Clean Air
"Action, Planning and Conservation League, Sierra Club California",Planning and Conservation League ; Sierra Club California
"Action, Sierra Club California, Union of Concerned",Sierra Club California ; Union of Concerned Scientists
"Action, South Bay Los Angeles, Southland Legislative Alliance, and Ventura County Climate Hub",Southland Legislative Alliance ; Ventura County Climate Hub
"Active Safety Corporation, James E. Bihr & Associates Consulting Engineers",Active Safety Corporation ; James E. Bihr & Associates Consulting Engineers
Actors and Others for Assistance League of Orange County,Actors and Others for Animals ; Assistance League of Orange County
"Adams & Graves, California Housing Council",Adams & Graves ; California Housing Council
"Adams & Graves, California Housing Council, County",Adams & Graves ; California Housing Council
"Additionally, the American Planning Association, California Chapter, and the Urban Counties Caucus","American Planning Association, California Chapter ; Urban Counties Caucus"
Administrative Law Judges (ACSA) Southern California Gas,Association of California State Attorneys and Administrative Law Judges ; Southern California Gas
Administrative Law Judges and Hearing Officers in State Employment (CASE) American Federation of State,"California State Attorneys, Administrative Law Judges and Hearing Officers in State Employment (CASE) ; American Federation of State, County and Municipal Employees (AFSCME)"
"Administrators, California Association of School Business Officials, San Diego County","California Association of School Business Officials, San Diego County"
"Administrators, California School Boards",Association of California School Administrators ; California School Boards Association
"Administrators, Health Officers Association of California",Health Officers Association of California
"Administrators, Sierra Club of California",Sierra Club of California
AdvaMed: American Chemistry Council,AdvaMed ; American Chemistry Council
AdvaMed: American Chemistry Council Amgen,AdvaMed ; American Chemistry Council ; Amgen
Advanced Medical Technology Association (AdvaMed): American Chemistry Council,Advanced Medical Technology Association (AdvaMed) ; American Chemistry Council
Advanced Medical Technology Association and the California Life Sciences Association,Advanced Medical Technology Association ; California Life Sciences Association
"Advanced Medical Technology Association, African American Farmers of California, Airlines for America, American Pistachio Growers, Association of California Life and Health Insurance Companies, Bay Area Council, Biocom, Building Owners and Managers Association of California, California Agricultural Aircraft Association, California Bankers Association, California Business Properties Association, California Business Roundtable, California Chamber of Commerce, California Cotton Ginners and Growers Association, California Farm Bureau Federation, California Forestry Association, California Hotel & Lodging Association, California Independent Petroleum Association, California League of Food Producers, California Life Sciences Association, California Manufacturers & Technology Association, California Railroads, California Taxpayers Association, California Trucking Association, Camarillo Chamber of Commerce, Chambers of Commerce Alliance of Ventura & Santa Barbara Counties, CompTIA, Contra Costa County Taxpayers Association, Council on State Taxation, Family Business Association of California, Farwest Equipment Dealers Association, International Council of Shopping Centers, Kern County Taxpayers Association, Maersk Inc,.NAIOP of California, National Federation of Independent Business, Nisei Farmers League, North Orange County Chamber, Orange County Business Council, Orange County Taxpayers Association, Oxnard Chamber of Commerce, Plant California Alliance Qualcomm, San Gabriel Valley Economic Partnership, Santa Maria Valley Chamber of Commerce, Silicon Valley Leadership Group, Solano County Taxpayers Association, Sutter County Taxpayers Association, TechNet, Valley Industry and Commerce Association, West Coast Lumber & Building Material Association, Western Agricultural Processors Association, Western Growers Association, Western Manufactured Housing Communities Association, Western Plant Health Association, Western States Petroleum Association, Wine Institute",Advanced Medical Technology Association ; African American Farmers of California ; Airlines for America ; American Pistachio Growers ; Association of California Life and Health Insurance Companies ; Bay Area Council ; Biocom ; Building Owners and Managers Association of California ; California Agricultural Aircraft Association ; California Bankers Association ; California Business Properties Association ; California Business Roundtable ; California Chamber of Commerce ; California Cotton Ginners and Growers Association ; California Farm Bureau Federation ; California Forestry Association ; California Hotel & Lodging Association ; California Independent Petroleum Association ; California League of Food Producers ; California Life Sciences Association ; California Manufacturers & Technology Association ; California Railroads ; California Taxpayers Association ; California Trucking Association ; Camarillo Chamber of Commerce ; Chambers of Commerce Alliance of Ventura & Santa Barbara Counties ; CompTIA ; Contra Costa County Taxpayers Association ; Council on State Taxation ; Family Business Association of California ; Farwest Equipment Dealers Association ; International Council of Shopping Centers ; Kern County Taxpayers Association ; Maersk Inc ; NAIOP of California ; National Federation of Independent Business ; Nisei Farmers League ; North Orange County Chamber ; Orange County Business Council ; Orange County Taxpayers Association ; Oxnard Chamber of Commerce ; Plant California Alliance ; Qualcomm ; San Gabriel Valley Economic Partnership ; Santa Maria Valley Chamber of Commerce ; Silicon Valley Leadership Group ; Solano County Taxpayers Association ; Sutter County Taxpayers Association ; TechNet ; Valley Industry and Commerce Association ; West Coast Lumber & Building Material Association ; Western Agricultural Processors Association ; Western Growers Association ; Western Manufactured Housing Communities Association ; Western Plant Health Association ; Western States Petroleum Association ; Wine Institute
"Advanced Water Systems (3 letters), American",Advanced Water Systems
"Advancement Foundation, LTSC Community",Advancement Foundation ; LTSC Community Development Corporation
"Advancement Project California, Albany Unified School District",Advancement Project California ; Albany Unified School District
Adventist Health & Loma Linda University Medical,Adventist Health ; Loma Linda University Medical Center
Adventist Health & Loma Linda University Medical Center,Adventist Health ; Loma Linda University Medical Center
Adventist Health and Loma Linda,Adventist Health ; Loma Linda University
Adventist Health and Loma Linda University,Adventist Health ; Loma Linda University
"Adventist Health, Alliance of Catholic Health Care",Adventist Health ; Alliance of Catholic Health Care
"Adventist Health, the California Hospital Association, and the District",Adventist Health ; California Hospital Association
"Advisory Council, Veterans Affiliated Council of Sacramento, Veterans of Foreign Wars Post 1999",Veterans Affiliated Council of Sacramento ; Veterans of Foreign Wars Post 1999
Advisory Group Planning and Conservation League,Planning and Conservation League
"Advocates for Highway and Auto Safety, Safety Belt Safe",Advocates for Highway and Auto Safety ; Safety Belt Safe
"AeA, Agilent Technologies, Philips Medical Systems",AeA (American Electronics Association) ; Agilent Technologies ; Philips Medical Systems
"AeA, Alticor, American Chemistry Council, American Forest & Paper Association, California",AeA (American Electronics Association) ; Alticor ; American Chemistry Council ; American Forest & Paper Association
"AeA, American Forest & Paper Association, California League of Food Processors, California Packaging Alliance, Glass Packaging",AeA (American Electronics Association) ; American Forest & Paper Association ; California League of Food Processors ; California Packaging Alliance ; Glass Packaging Institute
Aetna U.S. Healthcare Association of California Life and Health Insurance Companies,Aetna U.S. Healthcare ; Association of California Life and Health Insurance Companies
Affairs Association | Greater Los Angeles | San Anselmo Chamber,San Anselmo Chamber of Commerce
"Affordable Housing Management Association, Northern CA Hawaii Apartment Association, AIDS Healthcare Foundation",Affordable Housing Management Association - Northern California and Hawaii ; Apartment Association ; AIDS Healthcare Foundation
Afl-cio California Building Officials Service Employees International Union,AFL-CIO ; California Building Officials ; Service Employees International Union
Afl-cio California Federation of Teachers Afl-cio California School Employees Association,AFL-CIO ; California Federation of Teachers ; California School Employees Association
Afl-cio California Safety and Legislative Board of Smart - Transportation Division (smart - Td) California School Employees Association Cft- a Union of Educators & Classified Professionals,AFL-CIO ; California Safety and Legislative Board of Smart - Transportation Division (smart - Td) ; California School Employees Association ; CFT - A Union of Educators & Classified Professionals
Afl-cio California State Sheriffs' Association National Association of Social Workers,AFL-CIO ; California State Sheriffs' Association ; National Association of Social Workers
"African American Health Institute, NAACP - San Bernardino",African American Health Institute ; NAACP - San Bernardino
African American Student Social Work|Environmental Health Coalition,African American Student Social Work Association ; Environmental Health Coalition
African American Student Social Work|Environmental Health Coalition |Association,African American Student Social Work Association ; Environmental Health Coalition
"Against Domestic and Sexual Violence, YWCA",Coalition Against Domestic and Sexual Violence ; YWCA
"Against Family Violence and Sexual Assault, Haven House, Inc., Humboldt Women for","Alliance Against Family Violence and Sexual Assault ; Haven House, Inc. ; Humboldt Women for Shelter"
"Against Waste, Eastern Municipal Water",Californians Against Waste ; Eastern Municipal Water District
Agencies (ACWA) and the Regional Council of Rural Counties,Association of California Water Agencies (ACWA) ; Regional Council of Rural Counties
"Agencies (ACWA) and the Regional Council of Rural Counties (RCRC), who",Association of California Water Agencies (ACWA) ; Regional Council of Rural Counties (RCRC)
"Agencies, CDF Firefighters, California",CDF Firefighters
"Agencies, California Association of Sanitation",California Association of Sanitation Agencies
"Agencies, California Farm Bureau Federation, California League of Conservation Voters, Center for Marine Conservation, Congressman",California Farm Bureau Federation ; California League of Conservation Voters ; Center for Marine Conservation
