leginfo_org,leginfo_bills,suggested_canonical,matched_name_in_crosswalk,matched_via,wratio,token_set_ratio
Paul White,1,ADVENTIST HEALTH,Adventist Health White Memorial,alt(chapter),85.5,66.7
Paul Robeson Chapter of the ACLU,1,American Civil Liberties Union,Paul Robeson Chapter of the American Civil Liberties Union of Northern,alt(chapter),85.6,91.5
Patti Tang,1,"Patti Bowers, Executive Officer, California Board of Accountancy","Patti Bowers, Executive Officer, California Board of Accountancy",canonical,85.5,66.7
Patrick Macnee,1,Birch Patrick Convalescent Center at Sharp Chula Vista Medical Center,Birch Patrick Convalescent Center at Sharp Chula Vista Medical Center,canonical,85.5,66.7
Patricia Quick,1,City of Mountain View Patricia Showalter,City of Mountain View Patricia Showalter,canonical,85.5,72.7
Patricia Larson,1,City of Mountain View Patricia Showalter,City of Mountain View Patricia Showalter,canonical,85.5,69.6
Patricia Kite,1,City of Mountain View Patricia Showalter,City of Mountain View Patricia Showalter,canonical,85.5,76.2
Patricia Berlin,1,City of Mountain View Patricia Showalter,City of Mountain View Patricia Showalter,canonical,85.5,69.6
"Patricia & Donald Wills, Placerville",1,Attorneys Placerville,Attorneys Placerville,canonical,85.5,68.8
Pasadena Firefighters,1,Pasadena Firefighter Association,Pasadena Firefighter Association,canonical,87.8,75.5
Pamela Pickup,1,"Chula Vista City Councilwoman, Pamela Bensoussan","Chula Vista City Councilwoman, Pamela Bensoussan",canonical,85.5,63.2
Pamela Hoye,1,"Chula Vista City Councilwoman, Pamela Bensoussan","Chula Vista City Councilwoman, Pamela Bensoussan",canonical,85.5,70.6
Pacifica Library Foundation,1,Placentia Library Foundation,Placentia Library Foundation,canonical,87.3,87.3
"Pacific Interment Service, Inc",1,Pacific Tint,Pacific Tint,canonical,86.1,73.7
PCWA,1,COMMUNICATION WORKERS OF AMERICA,CWA,alt(alternate_spelling),85.7,85.7
Overseas Vote Foundation,1,The Foundation (CSU San Bernardino),The Foundation,alt(alternate_spelling),86.7,83.3
Over 35,1,Over 25,Over 25,canonical,85.7,85.7
Orange SB 1018 (Simitian) County Council on Aging,1,Orange County Council on Aging,"Council on Aging, FAST, Orange County",alt(alternate_spelling),87.7,78.7
"Orange County Reclamation Authority, Sunnyslope",1,South Orange County Reclamation Authority,South Orange County Reclamation Authority,canonical,87.5,86.4
Orange County (prior version),1,California District Agricultural Association,"32nd DAA, Orange County Fair & Exposition Center",alt(chapter),85.5,61.9
"Orange City Firefighters, Local 2384",1,Local 1430 Orange City Firefighters,Local 1430 Orange City Firefighters,canonical,87.7,90.1
OpenSea,1,OpenStax,OpenStax,canonical,80.0,80.0
Open Medicine Foundation,1,718 Foundation,718 Foundation,canonical,85.5,83.3
Older Women's League (previous version),1,Older Women's League-SF,Older Women's League-SF,canonical,85.9,72.2
Office of the CIO,1,CITY ATTORNEY'S OFFICE,Office of the City Attorney,alt(alternate_spelling),87.3,86.7
Office of San Francisco Mayor London Breed,1,Office of the Mayor of San Francisco,Office of the Mayor of San Francisco,canonical,88.9,93.5
Occidental CSD,1,"Center for Food and Justice, Urban and Environmental Policy Institute, Occidental College","Center for Food and Justice, Urban and Environmental Policy Institute, Occidental College",canonical,85.5,83.3
Oakland City Mayor Jerry Brown,1,CITY OF OAKLAND,City of Oakland Mayor,alt(alternate_spelling),87.7,92.3
OCSD,1,Los Osos Community Services District,LOCSD,alt(alternate_spelling),88.9,88.9
Numerous pupils,1,CMF Chapter of the California Correctional Peace Officers Association Numerous MTAs,CMF Chapter of the California Correctional Peace Officers Association Numerous MTAs,canonical,85.5,69.6
Numerous Sureties,1,CMF Chapter of the California Correctional Peace Officers Association Numerous MTAs,CMF Chapter of the California Correctional Peace Officers Association Numerous MTAs,canonical,85.5,64.0
Numerous Mediators,1,CMF Chapter of the California Correctional Peace Officers Association Numerous MTAs,CMF Chapter of the California Correctional Peace Officers Association Numerous MTAs,canonical,85.5,61.5
Numerous LCSWs,1,CMF Chapter of the California Correctional Peace Officers Association Numerous MTAs,CMF Chapter of the California Correctional Peace Officers Association Numerous MTAs,canonical,85.5,72.7
Numerous (Maze),1,CMF Chapter of the California Correctional Peace Officers Association Numerous MTAs,CMF Chapter of the California Correctional Peace Officers Association Numerous MTAs,canonical,85.5,69.6
No letters on file,1,Other Letters On File,Other Letters On File,canonical,87.2,61.5
"Nina Taylor, Library Director",1,A Living Library,A Living Library,canonical,85.5,60.9
Nicole Foundation,1,Coil Foundation,Coil Foundation,canonical,87.5,81.2
Nicholas Jr,1,Nicholas Roxborough and Associates,Nicholas Roxborough and Associates,canonical,85.7,84.2
New Breath Foundation,1,The Foundation (CSU San Bernardino),The Foundation,alt(alternate_spelling),86.7,83.3
NeuroRelational Framework Institute,1,Pacific Institute,Pacific Institute,canonical,85.5,69.2
"Natural Resouirces Defense Council, San Francisco",1,Natural Resources Defense,Natural Resources Defense,canonical,86.4,75.0
Native Directions Inc./Three Rivers Indian Lodge,1,"Native Directions, Inc","Native Directions, Inc",canonical,87.9,60.0
"National Baptist Convention USA, Inc, Dr. Willie Gable, Jr., Pastor",1,"National Baptist Convention, USA","National Baptist Convention, USA",canonical,88.6,66.7
Nathan Valdez,1,Beaumont Police Department Investigator Alfonso Valdez,Beaumont Police Department Investigator Alfonso Valdez,canonical,85.5,63.2
Ms. Shirley Burnell,1,CITY OF BERKELEY,Shirley Dean,alt(alternate_spelling),85.5,73.7
"Mr. William F. Ardizzone, President, Long Beach Firefighters",1,Long Beach Fire Fighers,Long Beach Fire Fighers,canonical,86.1,60.6
Mr. Traffic,1,A + Professional Driving and Traffic Schools,A + Professional Driving and Traffic Schools,canonical,85.5,77.8
Mr. John Anderson,1,Adams and Anderson Insurance Brokers,Adams and Anderson Insurance Brokers,canonical,85.5,64.0
"Mr. Eric Goines, of Sacramento",1,Access Community Media,Access Sacramento,alt(chapter),85.5,74.1
Mr. Corner Modular Cabinets,1,Bowlers Corner,Bowlers Corner,canonical,85.5,60.0
Mr Hip Marketing,1,ACG Cotton Marketing LLC,ACG Cotton Marketing LLC,canonical,85.5,72.0
Morgan Hill Library Foundation,1,5rights Foundation,5rights Foundation,canonical,85.5,71.4
Monica Zuniga,1,"Allan Saunders, Insurance-Surety Bonds, Santa Monica","Allan Saunders, Insurance-Surety Bonds, Santa Monica",canonical,85.5,63.2
Mitchell Keiter,1,Billie Mitchell Productions,Billie Mitchell Productions,canonical,85.5,69.6
Michelle Dille,1,Board of Equalization Member Michelle Steele,Board of Equalization Member Michelle Steele,canonical,85.5,72.7
"Mendocino County Librarian, Mindy Kittay, Pasadena Public Libraries, Director Jan Sanders",1,Mendocino County Library,Mendocino County Library,canonical,88.1,80.0
"Mendocino County Librarian, Mindy Kittay",1,Mendocino County Library,Mendocino County Library,canonical,88.1,80.0
"Mayor of Sacramento, Kevin Johnson",1,City of Sacramento - Kevin Johnson,City of Sacramento - Kevin Johnson,canonical,88.2,85.3
"Mayor of Long Beach, Robert Garcia",1,City of Long Beach-Robert Garcia,City of Long Beach-Robert Garcia,canonical,87.9,78.8
Mayor Stephen Pougnet,1,Stephen P. Pougnet,Stephen P. Pougnet,canonical,89.1,90.9
Mayor Robert Garcia of Long Beach,1,City of Long Beach-Robert Garcia,City of Long Beach-Robert Garcia,canonical,86.9,80.0
Mayor Libby Schaaf of Oakland,1,City of Oakland - Libby Schaaf,City of Oakland - Libby Schaaf,canonical,85.7,88.5
"Mayor Kevin Johnson, Sacramento",1,Access Community Media,Access Sacramento,alt(chapter),85.5,74.1
Mayor Flory,1,City of Santa Barbara,"City of Santa Barbara, Office of Mayor",alt(alternate_spelling),85.5,62.5
"Matthew Solomon, Councilmember - Emeryville",1,Artesia Councilmember,Artesia Councilmember,canonical,85.5,76.5
Matt Gray,1,Berkeley Berkeley Gray Panthers Housing Committee,Berkeley Berkeley Gray Panthers Housing Committee,canonical,85.5,61.5
"Mateo, Santa Clara, Santa Cruz, Shasta, Solano, Sonoma, Stanislaus, Ventura, Yolo, and Yuba",1,"Joaquin, San Luis Obispo, Santa Clara, Santa Cruz, Shasta, Solano, Sonoma, Stanislaus, Ventura, Yolo, Yuba","Joaquin, San Luis Obispo, Santa Clara, Santa Cruz, Shasta, Solano, Sonoma, Stanislaus, Ventura, Yolo, Yuba",canonical,88.3,93.1
"Mary K. Stroube, Attorney at Law",1,Attorneys at Law,Attorneys at Law,canonical,87.1,62.5
Marsha Edwards,1,"A.G. Edwards & Sons, Inc","A.G. Edwards & Sons, Inc",canonical,85.5,66.7
"Mario G. Obledo, Sacramento",1,Access Community Media,Access Sacramento,alt(chapter),85.5,74.1
"Marina Martinez, Program Director, Mi Casita Parent",1,10p Program,10p Program,canonical,85.5,77.8
Marilyn Cantlay,1,Long Beach Marilyn Goebel Escrow Company,Long Beach Marilyn Goebel Escrow Company,canonical,85.5,63.6
Margaret Fleming,1,"4th Grade GATE Class, Margaret Sheehy Elementary, Merced","4th Grade GATE Class, Margaret Sheehy Elementary, Merced",canonical,85.5,66.7
Margaret DalPorto,1,"4th Grade GATE Class, Margaret Sheehy Elementary, Merced","4th Grade GATE Class, Margaret Sheehy Elementary, Merced",canonical,85.5,64.0
Marcia Salter,1,Charles M Salter & Associates,Charles M Salter & Associates,canonical,85.5,63.2
Marcia Berris,1,Marcia Bethel (agent),Marcia Bethel (agent),canonical,85.5,63.2
Manuel Amaya,1,African American Attorneys Wiley Manuel Bar Association,African American Attorneys Wiley Manuel Bar Association,canonical,85.5,66.7
MMCI,1,MCI,MCI,canonical,85.7,85.7
Lucito Insurance Agency,1,Lohr Insurance Agency,Lohr Insurance Agency,canonical,86.4,86.5
"Lorie Zapf, Councilmember",1,"Ann Kulchin, Carlsbad City Councilmember","Ann Kulchin, Carlsbad City Councilmember",canonical,85.5,68.4
Loretta Gilmore,1,"Doty, Sundheim & Gilmore","Doty, Sundheim & Gilmore",canonical,85.5,63.6
Loni Gray,1,Berkeley Berkeley Gray Panthers Housing Committee,Berkeley Berkeley Gray Panthers Housing Committee,canonical,85.5,61.5
Long Beach Pittsburg,1,Academic Senate for the California Community Colleges,Academic Senate of Long Beach City College,alt(chapter),85.5,66.7
Log Off,1,37 Off Road and Dual Sport Divisions,37 Off Road and Dual Sport Divisions,canonical,85.5,60.0
Liz Weber,1,Dewey Weber Surfboards,Dewey Weber Surfboards,canonical,85.5,71.4
Listed as support on analysis for Assembly Committee on Revenue and Taxation,1,10-20 Club,10-20 Life Committee,alt(alternate_spelling),85.5,62.1
Linda Adams,1,Adams & Adams Consulting and Training,Adams & Adams Consulting and Training,canonical,85.5,62.5
Library Director Yolo County,1,Yolo County Law Library,Yolo County Law Library,canonical,86.0,90.5
Leslie Kemp,1,Calaveras County Assessor Leslie Davis,Calaveras County Assessor Leslie Davis,canonical,85.5,70.6
Leroy Brown,1,"Albert Costa, Costa Brown Architecture","Albert Costa, Costa Brown Architecture",canonical,85.5,62.5
Leonard Padilla Bail Bonds,1,Acme Bail Bonds,Acme Bail Bonds,canonical,85.5,80.0
Leonard Padilla,1,Annette Padilla Consulting,Annette Padilla Consulting,canonical,85.5,63.6
Leo Sullivan,1,"C.J. Sullivan & Co., Inc","C.J. Sullivan & Co., Inc",canonical,85.5,80.0
Leeza Gibbons,1,Gibbons Surgical Corporation,Gibbons Surgical Corporation,canonical,85.5,70.0
Lawrence Fishburne,1,Allen Lawrence & Associates Insurance Brokers,Allen Lawrence & Associates Insurance Brokers,canonical,85.5,61.5
Lastly,1,Fastly,Fastly,canonical,83.3,83.3
Larry Moore,1,Alexia Moore Wine and Marketing,Alexia Moore Wine and Marketing,canonical,85.5,62.5
Larry Burns,1,Burns & McDonnell Engineering Company,Burns & McDonnell Engineering Company,canonical,85.5,62.5
Labrea Station,1,Allergy Station @ SacENT,Allergy Station @ SacENT,canonical,85.5,66.7
LaBrea Station,1,Allergy Station @ SacENT,Allergy Station @ SacENT,canonical,85.5,66.7
L.A. DA,1,L.A. CADA,L.A. CADA,canonical,87.5,87.5
L.A. D.A.'s Office,1,L.A. Sheriff's Office,L.A. Sheriff's Office,canonical,87.7,75.9
L.A. County Commission for,1,Riverside County Commission for Women,Riverside County Commission for Women,canonical,86.7,89.4
Kipland Howard,1,ADVENTIST HEALTH,Adventist Health Howard Memorial,alt(chapter),85.5,60.0
"Kevin M. Esvelt, MIT Media Lab",1,11:11 Media,11:11 Media,canonical,85.5,62.5
"Kevin Johnson, Mayor of Sacramento",1,City of Sacramento - Kevin Johnson,City of Sacramento - Kevin Johnson,canonical,86.9,79.4
Kenneth Giberson,1,"Emanuels, Kenneth and Associates","Emanuels, Kenneth and Associates",canonical,85.5,60.9
Keith Hansen Hansen,1,Anita K Hansen Executive Coach and Consulting,Anita K Hansen Executive Coach and Consulting,canonical,85.5,66.7
Kathryn Hopkins,1,Anthony Hopkins Investigations,Anthony Hopkins Investigations,canonical,85.5,63.6
Katherine Henao,1,Katharine & George Alexander Community Law Center at Santa Clara University School of Law,Katherine & George Alexander Community Law,alt(alternate_spelling),85.5,75.0
"Karl Olson, Attorney at Law",1,Attorneys at Law,Attorneys at Law,canonical,87.1,74.4
Karl Luft,1,City of San Marcos Karl Bauer,City of San Marcos Karl Bauer,canonical,85.5,61.5
Karen Boone,1,Alameda County Superintendent of Schools,Alameda County Superintendent of Schools L. Karen Monroe,alt(alternate_spelling),85.5,62.5
"Karen Belk, Paso Robes",1,Paso Robles,Paso Robles,canonical,85.7,60.6
Julia Funk,1,Julia A. Lopez Child Development Center,Julia A. Lopez Child Development Center,canonical,85.5,66.7
Joyce Sam,1,Buckeye Union School District,"Joyce Flanigan, Superintendent, Buckeye School District",alt(alternate_spelling),85.5,71.4
Joseph Mellett,1,Audrey Joseph Presents,Audrey Joseph Presents,canonical,85.5,60.0
Jon Wizard City Councilmember,1,City of City Council Member,City Council Member,alt(alternate_spelling),87.6,70.8
Jon Wizard - Councilmember,1,"Joe Huizar, Councilmember","Joe Huizar, Councilmember",canonical,86.3,70.6
John Long,1,100 Black Men,100 Black Men of Long Beach,alt(chapter),85.5,61.5
"John Laird, Assembly Member Emeritus, 27th District",1,California District Agricultural Association,"27th DAA, Shasta District Fair",alt(chapter),85.5,60.5
John Fall,1,"AIA Architect, John Kelley","AIA Architect, John Kelley",canonical,85.5,61.5
Joanna Katz,1,Ronna Katz,Ronna Katz,canonical,85.7,85.7
Jessy Hernandez,1,Aileen C. Hernandez Associates,Aileen C. Hernandez Associates,canonical,85.5,75.0
Jerry Atkinson,1,Atkinson & Gallinatti,Atkinson & Gallinatti,canonical,85.5,72.7
Jennifer Newell,1,"City of Marysville, Finance Director Jennifer Styczynski","City of Marysville, Finance Director Jennifer Styczynski",canonical,85.5,69.6
Jennifer Chilton,1,"City of Marysville, Finance Director Jennifer Styczynski","City of Marysville, Finance Director Jennifer Styczynski",canonical,85.5,66.7
"Jennifer Baues, MSW, U.C. Davis Medical Center, Child Protection",1,UC Davis Medical Center,UC Davis Medical Center,canonical,86.1,72.2
Jenifer Hernandez,1,Aileen C. Hernandez Associates,Aileen C. Hernandez Associates,canonical,85.5,69.2
Jeffrey Beyer,1,District Attorneys,"Jeffrey Rosen, District Attorney",alt(alternate_spelling),85.5,70.0
Jeffery Burgh,1,"Jeffery J. Gale, Attorney at Law","Jeffery J. Gale, Attorney at Law",canonical,85.5,70.0
"Jean Warmes, Councilmember",1,"Ann Kulchin, Carlsbad City Councilmember","Ann Kulchin, Carlsbad City Councilmember",canonical,85.5,66.7
Jean Long,1,100 Black Men,100 Black Men of Long Beach,alt(chapter),85.5,61.5
Jean Edwards,1,"A.G. Edwards & Sons, Inc","A.G. Edwards & Sons, Inc",canonical,85.5,73.7
"Janice Li, Member, BART Board of Directors",1,MTA Board of Directors,MTA Board of Directors,canonical,85.7,90.0
Janet Seals,1,Aunt and Uncle to Kristopher Janet Stevens,Aunt and Uncle to Kristopher Janet Stevens,canonical,85.5,62.5
Janet Leigh,1,Aunt and Uncle to Kristopher Janet Stevens,Aunt and Uncle to Kristopher Janet Stevens,canonical,85.5,62.5
Jane Alvarez,1,CITY OF MODESTO,Eric E. Alvarez - Modesto City Councilmember,alt(alternate_spelling),85.5,73.7
Jane Alexander,1,Alexander & Alexander,Alexander & Alexander,canonical,85.5,90.0
"Jack D. Cohen, Attorney at Law",1,Attorneys at Law,Attorneys at Law,canonical,87.1,65.2
"Institute, Newman, Aaronson, Vanaman, Attorneys",1,"Newman, Aaronson, Vanaman, Attorneys at Law","Newman, Aaronson, Vanaman, Attorneys at Law",canonical,85.9,91.1
Institute is fortunate to have broad,1,Pacific Institute,Pacific Institute,canonical,85.5,69.2
Innavision Preparation Foundation,1,Lion Foundation,Lion Foundation,canonical,86.9,80.0
InnaVision Preparation Foundation,1,Lion Foundation,Lion Foundation,canonical,86.9,80.0
"Industry assessment $25,000 annually upon adoption (revenue)",1,Industry Assn,Industry Assn,canonical,86.4,76.2
Individual letters (90),1,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,60.6
Individual letters (77),1,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,60.6
Individual letters (51),1,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,60.6
Individual letters (45),1,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,60.6
Individual letters (38),1,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,60.6
Individual letters (35),1,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,60.6
Individual letters (19),1,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,60.6
Individual letters (17),1,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,60.6
Individual letters (15),1,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,60.6
Individual judges,1,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,74.1
Individual dentists,1,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,69.0
Individual Podiatrists,1,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,62.5
Individual Peninsula,1,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,66.7
Individual Letters (38),1,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,60.6
Individual Letters (28),1,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,60.6
Individual Letters (22),1,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,60.6
Individual Contacts (7),1,1-800 Contacts,1-800 Contacts,canonical,85.5,72.7
Individual - Studio Kids Management,1,Kids! Management,Kids! Management,canonical,87.1,76.9
Individual - Extra & Kids Management,1,Kids! Management,Kids! Management,canonical,87.1,76.9
Inc. Bob Belt and Evelyn Connelly,1,"Bob Belt and Evelyn Connelly, Citizens of Needles","Bob Belt and Evelyn Connelly, Citizens of Needles",canonical,88.7,73.1
Inc. (dba Holiday and SAV MOR Foods) PAQ,1,"North State Grocery, Inc. (dba Holiday and SAV MOR Foods)","North State Grocery, Inc. (dba Holiday and SAV MOR Foods)",canonical,89.6,94.7
"Ilana Murphy, Acupuncturist",1,California Certified Acupuncturists Association,California Certified Acupuncturist Association,alt(alternate_spelling),85.5,65.0
If the district,1,Fifth District,Fifth District,canonical,89.7,69.0
ISE Transportation recharged,1,S & S Transportation,S & S Transportation,canonical,88.7,87.5
Hypnosis Motivation Institute,1,One Institute,One Institute,canonical,86.4,81.8
"Hugo Soto-Martinez, Councilmember",1,Artesia Councilmember,Artesia Councilmember,canonical,85.5,76.5
"However, using information from its April 2020 survey, CDE",1,2020 Mom,2020 Mom,canonical,85.5,66.7
"Howard L. Hoffenberg, Esq",1,Law Office of Howard L. Hoffenberg,Law Office of Howard L. Hoffenberg,canonical,86.0,67.8
"Honorable Todd Gloria, Councilmember",1,Artesia Councilmember,Artesia Councilmember,canonical,85.5,76.5
"Honorable Steve Castaneda, Councilmember",1,Artesia Councilmember,Artesia Councilmember,canonical,85.5,76.5
Honorable Mary Salas,1,Alliance of California Judges Honorable John S. Adams,Alliance of California Judges Honorable John S. Adams,canonical,85.5,62.1
"Honorable London Breed, San Francisco Mayor",1,California District Agricultural Association,"5th DAA, San Francisco",alt(chapter),85.5,74.3
Honorable Lois Wolk,1,Alliance of California Judges Honorable John S. Adams,Alliance of California Judges Honorable John S. Adams,canonical,85.5,64.3
"Honorable Libby Schaaf, Mayor of Oakland",1,City of Oakland - Libby Schaaf,City of Oakland - Libby Schaaf,canonical,85.7,74.3
"Honorable Josh Bryant, Councilmember",1,Artesia Councilmember,Artesia Councilmember,canonical,85.5,76.5
"Honorable Dean Andal, Member BOE",1,"Honorable Dean Andal, Member of Board of Equalization","Honorable Dean Andal, Member Board of Equalization",alt(alternate_spelling),88.6,93.3
"Hon. Kevin McKeown, Councilmember",1,Artesia Councilmember,Artesia Councilmember,canonical,85.5,76.5
"Hon. Joan Darrah, Mayor, Stockton",1,A.C.L.C,"A.C.L.C., Stockton",alt(chapter),85.5,61.5
Henry Der,1,Anne and Henry Zarrow School of Social Work,Anne and Henry Zarrow School of Social Work,canonical,85.5,71.4
Help Is Hope Foundation,1,718 Foundation,718 Foundation,canonical,85.5,83.3
Helen Hunt,1,Charles and Helen Schwab Foundation,Charles and Helen Schwab Foundation,canonical,85.5,66.7
Heartwood Institute,1,Heart Institute,Heart Institute,canonical,88.2,88.2
Healthy Parks Healthy Communties,1,"Healthy Parks, Healthy Communties, The Trust for Public Land","Healthy Parks, Healthy Communties, The Trust for Public Land",canonical,87.2,63.2
Harry Wu,1,City of Atascadero Harry L. Ovitt,City of Atascadero Harry L. Ovitt,canonical,85.5,76.9
"Harold Fryday, Attorney at Law",1,Attorneys at Law,Attorneys at Law,canonical,87.1,65.2
Harold & Lucille Jones,1,620 Jones,620 Jones,canonical,85.5,71.4
"Haidar Awad, Councilmember",1,"Ann Kulchin, Carlsbad City Councilmember","Ann Kulchin, Carlsbad City Councilmember",canonical,85.5,66.7
Gwilson,1,Wilson Ag,Wilson Ag,canonical,83.1,62.5
Government Finance Officers Association,1,SB Association,SB Association,canonical,86.7,88.0
"Gloria Sewell-Murphy, Member/EDC Commissioner BMCR/ EHUMC, Richmond",1,Agricultural Commissioner,Agricultural Commissioner,canonical,85.5,64.9
Gloria Pantoja,1,City of Arcadia Gloria Cortez Keene,City of Arcadia Gloria Cortez Keene,canonical,85.5,60.0
"Glenn Pope, Individual",1,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,62.5
Ghost Pine Native Plant Nursery,1,ABC Nursery,ABC Nursery,canonical,85.5,77.8
Gerard Sorensen,1,"Burke, Williams, Sorensen & Gear","Burke, Williams, Sorensen & Gear",canonical,85.5,69.6
Geraldine Edwards,1,Citrus College,"Geraldine M. Perri, Ph.d., Superintendent/president, Citrus College",alt(alternate_spelling),85.5,69.2
George Mannon,1,Alameda Health System and John George Psychiatric Hospital,Alameda Health System and John George Psychiatric Hospital,canonical,85.5,63.2
Generally Accepted Accounting Principles. AB 253 is pending in the,1,Accounting Principals,Accounting Principals,canonical,85.7,64.5
Gary Miller,1,"Ann Miller Ravel, County Counsel","Ann Miller Ravel, County Counsel",canonical,85.5,70.6
Gary Knight,1,Alexandra Knight Inc,Alexandra Knight Inc,canonical,85.5,70.6
Gabriel Quinto,1,Active San Gabriel Valley,Active San Gabriel Valley,canonical,85.5,66.7
"Gabe Quinto, Councilmember",1,"Ann Kulchin, Carlsbad City Councilmember","Ann Kulchin, Carlsbad City Councilmember",canonical,85.5,66.7
Frank Parra,1,Billy DeFrank LGBTQ Community Center,Bill De Frank Community,alt(alternate_spelling),85.5,62.5
Frances Roth,1,Frances Cabrini School in San,Frances Cabrini School in San,canonical,85.5,73.7
Fran Larson,1,Al Larson Boat Shop,Al Larson Boat Shop,canonical,85.5,70.6
Foundation and other park supporters,1,Foundation Ra,Foundation Ra,canonical,86.4,87.0
Former FPPC Commissioner Colleen McAndrews,1,Agricultural Commissioner,Agricultural Commissioner,canonical,85.5,64.9
"Forest Bazat, PharmD, Assistant Clinical Professor, School of Pharmacy",1,"Forest Batz, PharmD, Assistant Clinical Professor, School of Pharmacy, University of California, San Francisco","Forest Batz, PharmD, Assistant Clinical Professor, School of Pharmacy, University of California, San Francisco",canonical,88.1,87.1
Foodini,1,Foodlink,Foodlink,canonical,80.0,80.0
Food and Beverage Manufacturing Consortium funders forum and supply chain mapping,1,Eagle Manufacturing Co,Eagle Manufacturing Co,canonical,85.9,74.3
Five MDs,1,Bay Area First Five Executive Directors,Bay Area First Five Executive Directors,canonical,85.5,66.7
Five Individual Letters,1,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,60.6
Finen Family,1,1736 Family Crisis Center,1736 Family Crisis Center,canonical,85.5,66.7
Families need this,1,A to Z Families for Safe Streets,A to Z Families for Safe Streets,canonical,85.5,61.5
Families Achieving Success,1,Families ACT,Families ACT,canonical,86.1,80.0
FLL CSD,1,Avila Beach CSD,Avila Beach CSD,canonical,85.5,60.0
FBA,1,FBAC,FBAC,canonical,85.7,85.7
FATE,1,Associated Transportation Engineers,ATE,alt(alternate_spelling),85.7,85.7
Eugene Moses,1,Agudath Israel of California Professor Eugene Volokh,Agudath Israel of California Professor Eugene Volokh,canonical,85.5,66.7
Erik Mason,1,"California Conference of Mason Contractor Associations, Inc","California Conference of Mason Contractor Associations, Inc",canonical,85.5,66.7
"Eric Hippeau, Managing Partner, Softbank Capital",1,1st Capital Bank,1st Capital Bank,canonical,85.5,60.9
"Enforcement Program Monitor, which found that MBC ""is often",1,10p Program,10p Program,canonical,85.5,77.8
Emmett Burroughs,1,Burroughs Family Orchards,Burroughs Family Orchards,canonical,85.5,72.0
"Elizabeth Katz, MHP",1,City of Cudahy,"Elizabeth Alcantar, Vice Mayor, Cudahy",alt(alternate_spelling),85.5,64.3
"Elizabeth Hess, LCSW",1,City of Cudahy,"Elizabeth Alcantar, Vice Mayor, Cudahy",alt(alternate_spelling),85.5,62.1
Elaine Tummond,1,California State Auditor,"Elaine Howle, California State Auditor",alt(alternate_spelling),85.5,60.0
Eckhoff Accountancy Corporation,1,BNG Accountancy Corporation,BNG Accountancy Corporation,canonical,87.4,92.0
East County Fire Chief,1,Kern County Fire Department and Office of Emergency Services,Kern County Fire Chief,alt(alternate_spelling),86.4,87.2
Earth Discovery Institute,1,Ocean Discovery Institute,Ocean Discovery Institute,canonical,88.0,86.4
EWD Program,1,California Health Benefits Review Program,California Health Benefits Review Program,canonical,85.7,77.8
Dr. Lorna Breen Heroes' Foundation,1,5rights Foundation,5rights Foundation,canonical,85.5,71.4
Dr. Christine Haller,1,American College of Emergency Physicians Christine McDavit,American College of Emergency Physicians Christine McDavit,canonical,85.5,62.1
"Doug Elmets, Elmets Communication",1,Elmets Communications,Elmets Communications,canonical,87.8,77.8
Donald King,1,"Alpine County Assessor/Recorder, Donald O'Connor","Alpine County Assessor/Recorder, Donald O'Connor",canonical,85.5,70.6
"Donald Garcia, Former Mayor and Councilmember",1,Mayor's and Councilmembers' Association of Sonoma County Legislative Committee,Mayors and Councilmembers,alt(alternate_spelling),86.3,65.7
"Division, Public: Health Nursing Program",1,Kern County Department of Public Health,"Kern County Department of Public Health, Nursing Division, Public Health Nursing Program",alt(chapter),88.9,88.9
District to receive two consecutive years of class,1,District Two,District Two,canonical,86.1,80.0
"Diane Ketell, Superintendent",1,Acalanes Union High School District,Superintendent of the Acalanes Union High School District,alt(alternate_spelling),85.5,66.7
Desean Frazier,1,"Center for Community Change, Frazier Park","Center for Community Change, Frazier Park",canonical,85.5,66.7
Deputy Fire Marshall,1,City of Montclair Deputy Fire Marshal,City of Montclair Deputy Fire Marshal,canonical,87.7,71.0
"Defense Council, Northwest Coalition for",1,10 Freeway Coalition,10 Freeway Coalition,canonical,85.5,62.1
