leginfo_org,leginfo_bills,suggested_canonical,matched_name_in_crosswalk,matched_via,wratio,token_set_ratio
Council on American- Islamic Relations,2,Council on American-Islamic Relations,Council on American-Islamic Relations,canonical,98.7,98.7
Council of Asian American Business Association of California,2,COUNCIL OF ASIAN AMERICAN BUSINESS ASSOCIATIONS,Council of Asian American Business Associations of California,alt(chapter),99.2,99.1
Contra Costa County Office of the District Attorney,2,District Attorneys,Contra Cost County Office of the District Attorney,alt(alternate_spelling),99.0,99.0
Community School Solutions of California,2,Community Schools Solutions of California,Community Schools Solutions of California,canonical,98.8,98.8
"Community Associations Institute, California Legislative Action Committee",2,"Community Associations Institute of California, California Legislative Action Committee",Community Associations Institute's California Legislative Action Committee,alt(alternate_spelling),99.3,98.0
Commonweal - The Juvenile Justice Program,2,Commonweal The Juvenile Justice Program,Commonweal The Juvenile Justice Program,canonical,97.5,100.0
Coalition of Labor Union Women - California Capital Chapter,2,"Coalition of Labor Union Women, California Capital Chapter","Coalition of Labor Union Women, California Capital Chapter",canonical,99.1,97.4
Coalition for Economic Survival (Los Angeles),2,COALITION FOR ECONOMIC SURVIVAL,Coalition for Economic Survival - Los Angeles,alt(alternate_spelling),98.9,88.9
Clue (clergy and Laity United for Economic Justice),2,CLERGY AND LAITY UNITED FOR ECONOMIC JUSTICE,CLUE: Clergy and Laity United for Economic Justice,alt(alternate_spelling),100.0,85.1
Clergy and Laity United for Economic Justice-Los Angeles,2,CLERGY AND LAITY UNITED FOR ECONOMIC JUSTICE,"Clergy and Laity United for Economic Justice, Los Angeles",alt(chapter),99.1,97.3
Clergy and Laity United for Economic Justice - Los Angeles,2,CLERGY AND LAITY UNITED FOR ECONOMIC JUSTICE,"Clergy and Laity United for Economic Justice, Los Angeles",alt(chapter),99.1,97.4
City of Torrance - Fire Department,2,City of Torrance Fire Department,City of Torrance Fire Department,canonical,97.0,100.0
City of La Habra Police Department,2,City of LaHabra Police Department,City of LaHabra Police Department,canonical,98.5,92.5
City of Carlsbad - Housing & Redevelopment Department,2,City of Carlsbad Housing and Redevelopment Department,City of Carlsbad Housing & Redevelopment Department,alt(alternate_spelling),98.1,100.0
City and County of San Francisco- Office of the City Attorney,2,City and County of San Francisco Office of the City Attorney,City and County of San Francisco Office of the City Attorney,canonical,99.2,99.0
City and County of San Francisco - Department on the Status of Women,2,"City and County of San Francisco, the San Francisco Department on the Status of Women",City and County of San Francisco Department on the Status of Women,alt(alternate_spelling),98.5,100.0
"Citizens for ""The Right to Know",2,Citizens for the Right to Know,Citizens for the Right to Know,canonical,98.4,95.1
Children's Advocacy Institute/University of San Diego,2,Children's Advocacy Institute of the University of San Diego,"Children's Advocacy Institute, University of San Diego",alt(alternate_spelling),99.1,97.2
Children's Advocacy Institute - University of San Diego School of Law,2,University of San Diego School of Law's Children's Advocacy Institute,"Children's Advocacy Institute, University of San Diego School of Law",alt(alternate_spelling),99.3,97.7
Chief Probation Officer of California,2,Chief Probation Officers of California,Chief Probation Officers of California,canonical,98.7,98.7
Chicken Ranch Rancheria of Me Wuk Indians of California,2,Chicken Ranch Rancheria of Me-Wuk Indians,Chicken Ranch Rancheria of Me-Wuk Indians of California,alt(chapter),100.0,98.1
Cheap School (Traffic School),2,Cheap School Traffic School,Cheap School Traffic School,canonical,98.2,81.6
Chancellor's Office - California Community Colleges,2,Chancellor's Office California Community Colleges,Chancellor's Office California Community Colleges,canonical,98.0,100.0
"Chambers of Commerce Alliance, Ventura & Santa Barbara Counties",2,Chambers of Commerce Alliance of Ventura and Santa Barbara,"Chambers of Commerce Alliance, Venture & Santa Barbara Counties",alt(alternate_spelling),98.4,98.4
California-Nevada Community Action Association,2,California / Nevada Community Action,California/Nevada Community Action Association,alt(alternate_spelling),100.0,97.8
California Teachers of English to Speakers of Other: Languages,2,California Teachers of English to Speakers of Other,California Teachers of English to Speakers of Other Languages,alt(alternate_spelling),99.2,99.1
California Teachers Association/Community College Association,2,CALIFORNIA TEACHER'S ASSOCIATION,California Teachers Association's Community College Association,alt(chapter),98.4,96.8
California Teachers Association Community College Association,2,CALIFORNIA TEACHER'S ASSOCIATION,California Teachers Association's Community College Association,alt(chapter),98.4,100.0
California Tax Reform Association (CTRA),2,CALIFORNIA TAX REFORM ASSOCIATION,"California Tax Reform Association, CTRA",alt(alternate_spelling),100.0,83.5
California State University - Office of the Chancellor,2,California State University Officer of the Chancellor,California State University Office of the Chancellor,alt(alternate_spelling),98.1,100.0
California State Legislative Board of SMART - Transportation Division,2,California State Legislative Board of the Smart - Transportation Division,California State Legislative Board of the Smart - Transportation Division,canonical,97.2,95.5
California State Council of the Service Employees International Union (co,2,California State Council of the Service Employees International,California State Council of the Service Employees International Union,alt(alternate_spelling),97.2,100.0
California Solar Energy Industries Association (CalSEIA),2,SOLAR ENERGY INDUSTRIES ASSOCIATION,California Solar Energy Industries Association/ CalSEIA,alt(alternate_spelling),100.0,82.9
California Schools Voluntary Employees Benefit Association,2,California Schools Voluntary Employees Benefits Association,California Schools Voluntary Employees Benefits Association,canonical,99.1,99.1
California School- Based Health Alliance,2,California School Based Health Alliance,California School Based Health Alliance,canonical,98.7,98.7
"California School Employees Association, AFL- CIO",2,CALIFORNIA SCHOOL EMPLOYEES ASSOCIATION,"California School Employees Association, AFL-CIO",alt(alternate_spelling),99.0,99.0
California Public Interest Research Group-CalPIRG,2,Public Interest Research Group,California Public Interest Research Group (CALPIRG),alt(chapter),99.0,83.3
California Public Interest Research Group - CALPIRG,2,Public Interest Research Group,California Public Interest Research Group (CALPIRG),alt(chapter),99.0,96.1
California Professional Firefights,2,International Association of Fire Fighters,California Professional Firefighters,alt(chapter),97.1,97.1
"California Peace Officers"" Association",2,California Peace Offficers' Association,California Peace Offficers' Association,canonical,98.7,96.1
"California Nurses Association, National Nurses Organizing Committee",2,California Nurse Association - National Nurses Organizing Committee,California Nurse Association - National Nurses Organizing Committee,canonical,98.5,92.9
California Nurses Association /National Nurses Organizing Committee,2,California Nurse Association - National Nurses Organizing Committee,California Nurse Association - National Nurses Organizing Committee,canonical,98.5,92.9
California Nurses Association / National Nurses Organizing Committee,2,California Nurse Association - National Nurses Organizing Committee,California Nurse Association - National Nurses Organizing Committee,canonical,99.3,98.3
California Medial Association,2,American Medical Association,California Medical Association,alt(chapter),98.3,98.3
California Legislative LGBTQ+ Caucus,2,California Legislative LBGTQ Caucus,California Legislative Lgbtq Caucus,alt(alternate_spelling),98.6,90.6
"California Labor Federation, AFL/CIO",2,"California Labor Federation, AFL-CIO","California Labor Federation, AFL-CIO",canonical,100.0,97.2
"California Labor Federation, (AFL-CIO)",2,"California Labor Federation, AFL-CIO","California Labor Federation, AFL-CIO",canonical,98.6,97.3
California HIV Advocacy Coalition (Southern California Region),2,California HIV Advocacy Coalition/Southern California Region,California HIV Advocacy Coalition/Southern California Region,canonical,99.2,80.0
California Firefighters' Association,2,California Fire Fighters Association,California Fire Fighters Association,canonical,97.2,86.1
California Fire Fighters,2,California Firefighters,California Firefighters,canonical,97.9,80.9
"California Fence Contractors"" Association",2,AMERICAN FENCE CONTRACTORS' ASSOCIATION,Calfornia Fence Contractors' Association,alt(alternate_spelling),98.8,96.3
California Dental Assistant Association,2,American Dental Assistants Association,California Dental Assistants Association,alt(chapter),98.7,98.7
California Council of the Service Employees: International Union,2,California Council of the Service Employees International Union,California Council of the Service Employees International Union,canonical,99.2,99.2
California Correctional Peace Officerso Association,2,California Correctional Peace Officers Association,California Correctional Peace Officers Association,canonical,99.0,99.0
California Coalition of Grandparent and Relative Caregivers,2,California Coalition for Grandparent and Relative Caretakers,California Coalition for Grandparent and Relative Caregivers,alt(alternate_spelling),97.5,97.5
California Chapters of the National Electrical: Contractors Association,2,California Chapters of the National Electrical Contractors Association,California Chapters of the National Electrical Contractors Association,canonical,99.3,99.3
California Chapter - Wild Sheep Foundation,2,California Chapter of the Wild Sheep Foundation,California Chapter Wild Sheep Foundation,alt(alternate_spelling),97.6,100.0
"California Attorneys, Administrative Law Judges and Hearing: Officers in State Employment",2,California Attorneys Administrative Law Judges and Hearing Officers in State Employment,California Attorneys Administrative Law Judges and Hearing Officers in State Employment,canonical,98.9,98.9
California Association of Sheet Metal and Air: Conditioning Contractors,2,CA Association of Sheet Metal and Air Conditioning Contractors,California Association of Sheet Metal and Air Conditioning Contractors,alt(alternate_spelling),99.3,99.3
California Association of Public Authorities for In-Home Support Services,2,California Association of Public Authorities for In-Home Supportive Services,California Association of Public Authorities for In-Home Supportive Services,canonical,98.0,98.0
California Association of Public Authorities For IHSS,2,CALIFORNIA ASSOCIATION OF PUBLIC AUTHORITIES,California Association of Public Authorities for IHSS-,alt(alternate_spelling),100.0,91.6
California Association of Psychiatric Mental Health Nurses in,2,California Association of Psychiatric Mental Health Nurses,California Association of Psychiatric Mental Health Nurses,canonical,97.5,100.0
Cal-tash,2,Cal Tash,Cal Tash,canonical,100.0,75.0
Cal-Trout,2,Cal Trout,Cal Trout,canonical,100.0,88.9
CFT- A Union of Educators & Classified Professionals,2,CTF - a Union of Educators & Classified Professionals,CTF - a Union of Educators & Classified Professionals,canonical,97.1,93.3
CFT - a Union of Educators & Classified Professionals,2,CTF - a Union of Educators & Classified Professionals,CTF - a Union of Educators & Classified Professionals,canonical,98.1,98.1
CFT - A Union of Educators & Classified Professionals,2,CTF - a Union of Educators & Classified Professionals,CTF - a Union of Educators & Classified Professionals,canonical,98.1,94.3
Brady Campaign to Prevent Gun Violence (California Chapters),2,BRADY CAMPAIGN TO PREVENT GUN VIOLENCE,"Brady Campaign to Prevent Gun Violence, California Chapter",alt(chapter),99.1,96.6
Black Lives Matter California,2,Black Lives Matter,Black Lives Matter-California,alt(alternate_spelling),100.0,75.9
BizFed (Los Angeles County Business Federation),2,"BizFed, the Los Angeles County Business Federation",BizFed Los Angeles County Business Federation,alt(alternate_spelling),98.9,89.1
"Bill Wilson Center, Santa Clara",2,BILL WILSON CENTER,Bill Wilson Center (Santa Clara),alt(alternate_spelling),100.0,76.2
Bet Tzedek Legal Services (Los Angeles),2,Bet Tzedek Legal Services,Bet Tzedek Legal Services Los Angeles,alt(alternate_spelling),98.7,86.8
Bernardino County Sheriff,2,Bernadino County Sheriff,Bernadino County Sheriff,canonical,98.0,98.0
"Bennett Kayser, Board Member, Los Angeles Unified School District",2,"Bennet Kayser, Board Member, Los Angeles Unified School District","Bennet Kayser, Board Member, Los Angeles Unified School District",canonical,99.2,99.2
Being Alive: People with HIV/AIDS Action Coalition,2,Being Alive/People with HIV/AIDS Action Coalition,Being Alive/People with HIV/AIDS Action Coalition,canonical,99.0,97.0
Being Alive- Los Angeles,2,Being Alive Los Angeles,Being Alive Los Angeles,canonical,97.9,97.9
Association of Professional Landscape Designers - California Chapter,2,Association of Professional Landscape Designers California Chapter,Association of Professional Landscape Designers California Chapter,canonical,98.5,100.0
"Association of Family and Conciliation Courts, California",2,ASSOCIATION OF FAMILY AND CONCILIATION COURTS,Association of Family and Conciliation Courts -- California,alt(alternate_spelling),98.3,96.6
"Association of Children for Enforcement of Support, Inc",2,"Association for Children for Enforcement of Support, Inc","Association for Children for Enforcement of Support, Inc",canonical,97.3,100.0
"Association of California Water Agencies, San",2,ASSOCIATION OF CALIFORNIA WATER AGENCIES,Association of California Water Agencies (an),alt(alternate_spelling),98.9,88.9
Association of California Cities Orange County,2,ASSOCIATION OF CALIFORNIA CITIES - ORANGE COUNTY,Association of California Cities-Orange County,alt(alternate_spelling),100.0,97.8
Association for Los Angles Deputy Sheriffs,2,"Association for Los Angeles Deputy Sheriffs, Inc. (ALADS)",Association fo Los Angeles Deputy Sheriffs,alt(alternate_spelling),97.6,97.6
Associated General Contractors of America (San Diego Chapter),2,"Associated General Contractors of America, San Diego Chapter","Associated General Contractors of America, San Diego Chapter",canonical,100.0,90.9
Assoc. for Los Angeles Deputy Sheriffs,2,"Association for Los Angeles Deputy Sheriffs, Inc. (ALADS)",Asso. for Los Angeles Deputy Sheriffs,alt(alternate_spelling),98.7,98.7
Asian Americans Advancing Justice -- Southern California,2,ASIAN AMERICANS ADVANCING JUSTICE,Asian Americans Advancing Justice Southern California,alt(chapter),97.2,100.0
Amvets Department of California,2,AMVEETS-Department of California,AMVEETS-Department of California,canonical,98.4,79.4
"American Subcontractors Association CA, Inc",2,"American Subcontractor Association California, Inc","American Subcontractor Association CA, Inc",alt(alternate_spelling),98.8,98.8
American Planning Association (California Chapter),2,"American Planning Assoc., California Chapter","American Planning Association, California Chapter",alt(alternate_spelling),100.0,74.7
American Nurses Association\California (ANA\C),2,American Nurses Association of California (ANA/C),American Nurses Association California (ANA\C),alt(alternate_spelling),100.0,97.8
American Nurses Association\ California,2,American Nurses Associaition - California,American Nurses Associaition - California,canonical,97.5,95.0
American Nurses Association-California,2,American Nurse Association of California,American Nurse Association/California,alt(alternate_spelling),98.7,96.0
American Lung Association-California,2,AMERICAN LUNG ASSOCIATION,"American Lung Association, California",alt(chapter),98.6,95.9
American Legion - Alexander Hamilton Post 448,2,Alexander Hamilton Post 448 of the American Legion,American Legion Alexander Hamilton Post 448,alt(alternate_spelling),97.7,100.0
"American Federation of State, County, and Municipal: Employees, AFL-CIO",2,"American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County and Municipal Employees, AFL, CIO",alt(alternate_spelling),97.9,96.5
"American Federation of State, County, and Municipal: Employees (AFSCME), AFL-CIO",2,"American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County, and Municipal Employees (AFSCME), AFL-CIO",alt(alternate_spelling),99.4,99.4
"American Federation of State, County, and Municipal Employees, AFL-: CIO",2,"American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County and Municipal Employees, AFL, CIO",alt(alternate_spelling),98.6,97.2
"American Federation of State, County, and Municipal Employees, AFL- CIO",2,"American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County and Municipal Employees, AFL, CIO",alt(alternate_spelling),99.3,97.9
"American Federation of State, County, and Municipal Employees (AFSCME), AFL- CIO",2,"American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County, and Municipal Employees (AFSCME), AFL-CIO",alt(alternate_spelling),99.4,99.4
"American Federation of State, County, and Municipal Employees (AFL-CIO)",2,"American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County and Municipal Employees, AFL, CIO",alt(alternate_spelling),98.6,95.0
"American Federation of State, County, Municipal Employees (AFSCME), AFL-CIO",2,"American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County & Municipal Employees (AFSCME) AFL-CIO",alt(alternate_spelling),98.7,97.3
"American Federation of State, County and Municipal Employees, Local 1902",2,"American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County and Municipal Employees, Local 3990",alt(chapter),97.2,97.2
"American Federation of State, County and Municipal Employees, District Council 36",2,"American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County and Municipal Employees, District Council",alt(alternate_spelling),98.1,100.0
"American Federation of State, County and Municipal Employees, AFSCME",2,"American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County and Municipal Employees (AFSCME)",canonical,100.0,97.8
"American Federation of State, County and Municipal Employees, AFL-: CIO",2,"American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County and Municipal Employees, AFL, CIO",alt(alternate_spelling),99.3,97.9
"American Federation of State, County and Municipal Employees, (AFSCME, AFL-CIO)",2,"American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County and Municipal Employees (AFSCME) AFLO-CIO",alt(alternate_spelling),98.7,96.8
"American Federation of State, County and Municipal Employees, (AFL-CIO)",2,"American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County and Municipal Employees, AFL, CIO",alt(alternate_spelling),98.6,96.5
"American Federation of State, County and Municipal Employees Local 57",2,"American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County and Municipal Employees, Local 257",alt(chapter),98.6,98.6
"American Federation of State, County and Municipal Employees (AFSCME) Local 57",2,"American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County and Municipal Employees (AFSCME) Local",alt(alternate_spelling),98.0,100.0
"American Federation Of State, County And Municipal Employees Local 3299",2,"American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County and Municipal Employees, Local 3990",alt(chapter),97.9,90.9
"American Congress of Obstetricians and Gynecologists, District IX - California",2,American College of Obstetricians and Gynecologists - District IX,American Congress of Obstetricians and Gynecologists - District IX California,alt(chapter),98.1,99.4
"American College of Physicians, California Chapters",2,American College of Physicians - California Chapters,American College of Physicians - California Chapters,canonical,99.0,97.1
American College of Physicians - California Chapter,2,American College of Physicians - California Chapters,American College of Physicians - California Chapters,canonical,99.0,99.0
American College of Obstetrics and Gynecology - District IX,2,American College of Obstetrics and Gynecology District IX,American College of Obstetrics and Gynecology District IX,canonical,98.3,100.0
"American College of Obstetricians and Gynecologists, District IX/ CA",2,American College of Obstetricians and Gynecologists - District IX,"American College of Obstetricians and Gynecologists, District IX / CA",alt(alternate_spelling),99.3,97.8
"American College of Obstetricians and Gynecologists, District IX, CA",2,American College of Obstetricians and Gynecologists - District IX,"American College of Obstetricians and Gynecologists, District IX / CA",alt(alternate_spelling),99.3,97.8
"American College of Obstetricians and Gynecologists, District IX (co",2,American College of Obstetricians and Gynecologists - District IX,"American College of Obstetricians and Gynecologists, District IX / CA",alt(alternate_spelling),97.8,97.0
American College of Ob-gyn's District Ix,2,American College of OBGYN's District IX,American College of OBGYN's District IX,canonical,98.7,86.1
American College of Emergency Physicians -- State Chapter of California,2,American College of Emergency Physicians State Chapter of California,American College of Emergency Physicians State Chapter of California,canonical,97.8,100.0
"American Clean Power, California",2,American Clean Power Association,American Clean Power - California,alt(alternate_spelling),98.5,95.4
"American Civil Liberties Union, San Luis Obispo County",2,American Civil Liberties Union,American Civil Liberties Union of San Luis Obispo County,alt(chapter),98.2,96.4
American Civil Liberties Union Northern California,2,American Civil Liberties Union,American Civil Liberties Union of Northern California,alt(chapter),97.1,100.0
American Association of University of Women of California,2,AMERICAN ASSOCIATION OF UNIVERSITY WOMEN,American Association of University Women of California,alt(chapter),97.3,100.0
American Association of University Women- California,2,AMERICAN ASSOCIATION OF UNIVERSITY WOMEN,American Association of University Women of California,alt(chapter),98.1,99.0
American Association of University Women (California),2,AMERICAN ASSOCIATION OF UNIVERSITY WOMEN,American Association of University Women of California,alt(chapter),98.1,98.1
American Academy of Pediatrics--California District,2,American Academy of Pediatrics-California District,American Academy of Pediatrics-California District,canonical,99.0,99.0
"American Academy of Pediatrics, Orange County Chapter",2,American Academy of Pediatrics - Orange County Chapter,American Academy of Pediatrics - Orange County Chapter,canonical,99.1,97.2
American Academy of Pediatrics - California Chapter,2,"American Academy of Pediatrics, California Chapter","American Academy of Pediatrics, California Chapter",canonical,99.0,97.0
"Alliance for the Mentally Ill, (San Rafael)",2,"Alliance for the Mentally Ill, San Rafael","Alliance for the Mentally Ill, San Rafael",canonical,98.8,88.1
Alliance for the Mentally Ill (Marin),2,"Alliance for the Mentally Ill, Marin","Alliance for the Mentally Ill, Marin",canonical,100.0,84.9
Alliance for the Mentally Ill (Clearlake Oaks),2,"Alliance for the Mentally Ill, Clearlake Oaks","Alliance for the Mentally Ill, Clearlake Oaks",canonical,100.0,96.7
Alliance for Community Transit - Los Angeles (ACT-LA),2,ACT-LA,Alliance for Community Transit - Los Angeles (ACT- LA),alt(alternate_spelling),99.0,99.1
"Alexandria House, Los Angeles",2,Alexandria House - Los Angeles,Alexandria House - Los Angeles,canonical,98.3,94.9
Alameda- Contra Costa Transit District,2,Alameda - Contra Costa Transit District,Alameda - Contra Costa Transit District,canonical,98.7,96.1
Alameda Corridor - East Construction Authority,2,Alameda Corridor East Construction Authority,Alameda Corridor East Construction Authority,canonical,97.8,100.0
AeA - Advancing the Business of Technology,2,AeA (American Electronics Association),AeA Advancing the Business of Technology,alt(alternate_spelling),97.6,100.0
Advancment Project California,2,ADVANCEMENT PROJECT,Advancement Project California,alt(chapter),98.3,98.3
Advanced Medical Technology Association (Advamed),2,AdvaMed - Advanced Medical Technology Association,"Advanced Medical Technology Association, AdvaMed",alt(alternate_spelling),100.0,94.8
Acalanes Union High School District website,2,Acalanes Union High School District,Acalanes Union High School District Web site,alt(alternate_spelling),98.9,96.6
AMVETs- Department of California,2,AMVETS - DEPARTMENT OF CALIFORNIA,AMVETS--Department of California,alt(alternate_spelling),100.0,93.8
"AFSCME - American Federation of State, County and Municipal",2,"American Federation of State, County and Municipal Employees (AFSCME)","AFSCME (American Federation of State, County and Municipal)",alt(alternate_spelling),99.1,96.6
"100% Campaign, (Children Now, Children's Defense Fund and the Children's Partnership)",2,100% CAMPAIGN: HEALTH INSURANCE FOR EVERY CALIFORNIA CHILD,"100% Campaign - Children Now, Children's Defense Fund and The Children's Partnership",alt(alternate_spelling),100.0,84.4
1) Sunset Extension for Board of Guide Dogs for the Blind,2,Sunset Extension for Board of Guide Dogs for the Blind,Sunset Extension for Board of Guide Dogs for the Blind,canonical,97.3,100.0
(SPI),2,SUPERINTENDENT OF PUBLIC INSTRUCTION,SPI,alt(alternate_spelling),100.0,75.0
(PORAC),2,PEACE OFFICER'S RESEARCH ASSOCIATION OF CALIFORNIA,PORAC,alt(alternate_spelling),100.0,83.3
(LACOE),2,LOS ANGELES COUNTY OFFICE OF EDUCATION,LACOE,alt(alternate_spelling),100.0,83.3
(CTLA),2,CALIFORNIA TRIAL LAWYERS ASSOCIATION,CTLA,alt(alternate_spelling),100.0,80.0
(CRLAF),2,CALIFORNIA RURAL LEGAL ASSISTANCE FOUNDATION,CRLAF,alt(alternate_spelling),100.0,83.3
(CCEEB),2,California Council for Environmental Balance,CCEEB,alt(alternate_spelling),100.0,83.3
#Out4MentalHealth,2,Out4Mental Health,Out4MentalHealth,alt(alternate_spelling),100.0,97.0
#OneContraCosta Coalition,2,OneContraCosta Coalition,OneContraCosta Coalition,canonical,100.0,98.0
the Riverside Sheriff's Association,1,Riverside Sherriffs' Association,The Riverside Sherriff's Association,alt(alternate_spelling),98.6,95.8
see Comment 5),1,See Comment 5,See Comment 5,canonical,100.0,88.9
private attorneys,1,Private Attorney,Private Attorney,canonical,97.0,84.8
"nited Food and Commercial Workers, Region 8",1,UNITED FOOD AND COMMERCIAL WORKERS,United Food and Commercial Workers Region 8,alt(alternate_spelling),97.7,83.7
interact: Advocates for Intersex Youth,1,Interact Advocates for Intersex Youth,Interact Advocates for Intersex Youth,canonical,98.7,96.0
iCAN ‒ International Cancer Advocacy Network,1,"Ican, International Cancer Advocacy Network","Ican, International Cancer Advocacy Network",canonical,98.9,92.5
emPOWERment Dress Perkins Foundation,1,Empowerment Dess Perkins Foundation,Empowerment Dess Perkins Foundation,canonical,98.6,81.7
emPOWERment DRess Perkins Foundation,1,Empowerment Dess Perkins Foundation,Empowerment Dess Perkins Foundation,canonical,98.6,81.7
"eBlue Wave Solutions, Inc",1,"Blue Wave Solutions, Inc","Blue Wave Solutions, Inc",canonical,98.0,98.0
betterTogether Forever,1,Better Together Forever,Better Together Forever,canonical,97.8,93.3
arc After School & Experiential Education,1,Arc-After School & Experiential Education,Arc-After School & Experiential Education,canonical,100.0,90.2
and Western Center on Law & Poverty (supporting bill as introduced) AB 891 (Goldberg),1,Western Center on Law & Poverty,Western Center on Law & Poverty (supporting bill as introduced) AB 891 (Goldberg),alt(alternate_spelling),97.6,100.0
and West Covina The South Coast Air Quality Management District Independent Cities Association,1,West Covina The South Coast Air Quality Management District Independent Cities Association,West Covina The South Coast Air Quality Management District Independent Cities Association,canonical,97.8,100.0
aint-Gobain Containers,1,Saint Gobain Containers,Saint Gobain Containers,canonical,97.8,75.6
a coalition of civil rights organizations,1,Coalition of Civil Rights Organizations,Coalition of Civil Rights Organizations,canonical,97.5,87.5
Youth and Education Law Project (Stanford Law School),1,The Youth and Education Law Project of Stanford Law School,"Youth and Education Law Project, Stanford Law School",alt(alternate_spelling),100.0,78.4
Youth Climate Strike Los Angles,1,Youth Climate Strike Los Angeles,Youth Climate Strike Los Angeles,canonical,98.4,98.4
Yolo County's Assessor/Clerk Recorder Elections Office,1,Yolo County Assessor/Clerk-Recorder/Registrar of Voters,Yolo County Assessor/Clerk-Recorder/Elections Office,alt(alternate_spelling),98.1,71.7
Yolo County Board of Supervisor,1,Yolo County Yolo County Board of Supervisors,Yolo County Board of Supervisors,alt(alternate_spelling),98.4,98.4
YWCA Santa Monica /Westside,1,"YWCA, Santa Monica Westside",YWCA Santa Monica/Westside,alt(alternate_spelling),98.1,75.5
YWCA Pasadena Foothill Valley,1,YWCA Pasadena-Foothill Valley,YWCA Pasadena-Foothill Valley,canonical,100.0,69.0
Wyeth/Ayerst Laboratories,1,Wyeth,Wyeth-Ayerst Laboratories,alt(alternate_spelling),100.0,96.0
WuYee Children's Services,1,Wu Yee Children's Services,Wu Yee Children's Services,canonical,98.0,98.0
World Resources Institutes,1,World Resources Institute,World Resources Institute,canonical,98.0,98.0
Worksafe! A Coalition for Cal-OSHA,1,Worksage! A Coalition for Cal-OSHA,Worksage! A Coalition for Cal-OSHA,canonical,97.1,97.1
Workmen's Circle/Arbeter Ring (Southern California District),1,Workmen's Circle/Arbeter Ring,"Workmen's Circle/Arbeter Ring, Southern California District",alt(chapter),100.0,82.4
Women's Policy Institute/Women's Foundation of California,1,WOMEN'S FOUNDATION OF CALIFORNIA - WOMEN'S POLICY INSTITUTE,"Women's Policy Institute, Women's Foundation of California",alt(alternate_spelling),99.1,91.6
Women's International League for Peace and Freedom -Santa,1,"Women's International League for Peace and Freedom, Peninsula Beach","Women's International League for Peace and Freedom, San",alt(chapter),98.2,89.3
Women's International League for Peace and Freedom - Peninsula Branch,1,"Women's International League for Peace and Freedom, Peninsula Beach","Women's International League for Peace and Freedom, Peninsula Beach",canonical,97.1,95.6
Women's International League for Peace and Freedom (Santa Cruz Branch),1,Women's International League for Peace and Freedom - Santa Cruz Branch,Women's International League for Peace and Freedom - Santa Cruz Branch,canonical,99.3,90.0
Women's Foundation California/Women's Policy Institute,1,WOMEN'S FOUNDATION OF CALIFORNIA - WOMEN'S POLICY INSTITUTE,Women's Foundation of California/Women's Policy Institute,alt(alternate_spelling),97.3,100.0
Women's Employment Rights Clinic (Golden Gate School of Law),1,Women's Employment Rights Clinic of Golden Gate U. School of Law,"Women's Employment Rights Clinic, Golden Gate School of Law",alt(alternate_spelling),100.0,85.7
Women's Crisis Center (Salinas),1,"Women's Crisis Center, Salinas","Women's Crisis Center, Salinas",canonical,100.0,72.1
"Women's Center, High Desert, Inc",1,Women's Center - High Desert,"Women's Center - High Desert, Inc",alt(alternate_spelling),98.5,95.4
"Women's Center -High Desert, Inc",1,Women's Center - High Desert,"Women's Center - High Desert, Inc",alt(alternate_spelling),98.5,98.5
"Women's Center -High Desert, INC",1,Women's Center - High Desert,"Women's Center - High Desert, Inc",alt(alternate_spelling),98.5,92.3
Women at Risk - Culver City,1,"Women at Risk, Culver City","Women at Risk, Culver City",canonical,98.1,94.3
"Women Organizing Resources, Knowledge and Services (WORK",1,"WOMEN ORGANIZING RESOURCES, KNOWLEDGE AND SERVICES (WORKS) (LOS ANGELES)","Women Organizing Resources, Knowledge and Services (WORK)",alt(alternate_spelling),100.0,99.1
Women Organized to Respond to Life-Threatening Diseases (oWORLDo),1,WOMEN ORGANIZED TO RESPOND TO LIFE-THREATENING DISEASES,Women Organized to Respond to Life-threatening Diseases (WORLD),alt(alternate_spelling),98.4,96.7
Women Organized to Make Abuse Non-existent (WOMAN Inc.),1,Women Organized to Make Abuse Non-Existent,Women Organized to Make Abuse Nonexistent (WOMAN Inc.),alt(alternate_spelling),99.0,99.1
Women For: (Beverly Hills),1,Women For (Beverly Hills),Women For (Beverly Hills),canonical,98.0,98.0
