leginfo_org,leginfo_bills,suggested_canonical,matched_name_in_crosswalk,matched_via,wratio,token_set_ratio
Sheriff - Ventura County,1,Ventura County Sheriff's Office,"Sheriff, Ventura County",alt(alternate_spelling),97.9,93.6
Sheriff - Stanislaus County,1,Stanislaus County Sheriff's Department,"Sheriff, Stanislaus County",alt(alternate_spelling),98.1,94.3
Sheriff - Sacramento County,1,Sacramento County Deputy Sheriff's Association,Sacramento County Deputy Sheriff,alt(alternate_spelling),95.0,96.2
Sheriff - El Dorado County,1,County of El Dorado Office of the Sheriff-Coroner-Public Administrator,"Sheriff, El Dorado County",alt(alternate_spelling),98.0,94.1
Sheriff - Del Norte County,1,Del Norte County Sheriff's Office,"Sheriff, Del Norte County",alt(alternate_spelling),98.0,94.1
Sheriff - Contra Costa County,1,Contra Costa County Office of the Sheriff,"Sheriff, Contra Costa County",alt(alternate_spelling),98.2,94.7
Shelters Against Violent Environments (SAVE) (6/3/94),1,Shelters Against Violent Environments (SAVE),Shelters Against Violent Environments (SAVE),canonical,95.0,100.0
"Shelter, WEAVE, Calaveras Womenos Crisis",1,Calaveras,Calaveras,canonical,90.0,100.0
"Shelter, Inc. Shelter Partnership, Inc",1,"Shelter Partnership Inc, Los Angeles","Shelter Partnership Inc, Los Angeles",canonical,95.0,67.6
"Shelter, Inc. - Concord",1,"Shelter, Inc., Concord","Shelter, Inc., Concord",canonical,97.8,93.3
"Shelter and Support Services Subcom., San Diego Domestic Violence",1,Domestic Violence,Domestic Violence,canonical,90.0,100.0
Shelter Services for Women (Santa Barbara),1,"Shelter Services for Women, Santa Barbara","Shelter Services for Women, Santa Barbara",canonical,100.0,81.9
"Shelter Partnership, Inc. - Los Angeles",1,"Shelter Partnership Inc, Los Angeles","Shelter Partnership Inc, Los Angeles",canonical,96.0,93.3
"Shelly Mahlmann, MSW, San Joaquin County",1,San Joaquin,San Joaquin,canonical,90.0,100.0
"Sheila Kuehl, Los Angeles County Supervisor and former State Senator",1,Angeles County,Angeles County,canonical,90.0,100.0
"Sheila Jackson, Vice President, San Diego Unified School District",1,SAN DIEGO UNIFIED SCHOOL DISTRICT,San Diego Unified School Unified School District,alt(alternate_spelling),95.0,100.0
"Sheila Brogna, Attorney at Law",1,Attorneys at Law,Attorneys at Law,canonical,87.1,65.2
Sheet metal Workers Local Union 273,1,Sheet Metal Workers',"Sheet Metal Workers, Local 273",alt(chapter),95.0,73.8
"Sheet Metal, Air, Rail, and Transportation Workers, Local Union No.105",1,"International Association of Sheet Metal, Air, Rail and Transportation Workers (SMART)","Sheet Metal, Air, Rail & Transportation Workers 105",alt(chapter),95.0,82.6
"Sheet Metal, Air, Rail, and Transportation Workers Local Union No. 104",1,Sheet Metal Workers',"Sheet Metal, Air, Rail, and Transportation Workers, Local 104",alt(chapter),95.0,92.0
"Sheet Metal, Air, Rail, Transportation Workers' Local Union 105",1,"International Association of Sheet Metal, Air, Rail and Transportation Workers (SMART)","Sheet Metal, Air, Rail & Transportation Workers 105",alt(chapter),95.0,87.7
"Sheet Metal, Air, Rail, Transportation Workers Local Union 105",1,"International Association of Sheet Metal, Air, Rail and Transportation Workers (SMART)","Sheet Metal, Air, Rail & Transportation Workers 105",alt(chapter),95.0,92.6
Sheet Metal and Air Conditioning Contractors Associations (SMACNA),1,Sheetmetal and Air-conditioning Contractors Association,Sheetmetal and Air-conditioning Contractors Association,canonical,91.7,64.5
Sheet Metal and Air Conditioning Contractors,1,"Association, Sheet Metal and Air Conditioning Contractors","Association, Sheet Metal and Air Conditioning Contractors",canonical,95.0,100.0
"Sheet Metal Workers' International Association, Local 105",1,Sheet Metal Workers',Sheet Metal Workers' International Association Local 104,alt(chapter),97.3,97.3
"Sheet Metal Worker's Local Union 104, San Ramon",1,San Ramon,San Ramon,canonical,90.0,100.0
"Sheet Metal Air Rail and Transportation Workers, CA State Legislative Board",1,"International Association of Sheet Metal, Air, Rail and Transportation Workers (SMART)","Sheet Metal, Air, Rail & Transportation Workers 105",alt(chapter),90.8,69.8
"Shawn McLaughlin, President, San Marcos Professional",1,San Marcos,San Marcos,canonical,90.0,100.0
Shawn Fong,1,City of Aliso Viejo Shawn Nelson,City of Aliso Viejo Shawn Nelson,canonical,85.5,66.7
Shasta/Trinity/Lassen/Tehama Building and Construction Trades Council,1,Building and Construction,Building and Construction,canonical,90.0,100.0
Shasta-Tehama Bioregional Council (previous version),1,Regional Council,Regional Council,canonical,90.0,60.9
"Shasta, County of",1,County of Shasta,County of Shasta,canonical,95.0,97.0
Shasta Driving School: Spencer Driving School,1,DRIVING SCHOOL ASSOCIATION OF CALIFORNIA,Driving School,alt(alternate_spelling),90.0,100.0
"Shasta District Fair, 27th District Agricultural Association",1,Agricultural Association,Agricultural Association,canonical,90.0,100.0
Shasta County Taxpayers Association,1,County Taxpayers Association,County Taxpayers Association,canonical,95.0,100.0
"Shasta County Superior Court, Orange County Superior Court",1,"Shasta County Superior Court, Orange County","Shasta County Superior Court, Orange County",canonical,95.0,100.0
Shasta County Sheriff: Ventura County Sheriff,1,CITY OF VENTURA,Ventura,alt(alternate_spelling),90.0,100.0
Shasta County Public Health WIC and Breastfeeding Support Center,1,Public Health,Public Health,canonical,90.0,100.0
Shasta County Clerk/Registrar of Voters (prior version),1,"Shasta County, County Clerk/Registrar of Voters","Shasta County, County Clerk/Registrar of Voters",canonical,95.0,90.7
"Shasta County Board of Supervisors, Public Health Advisory: Board",1,"Shasta County Board of Supervisors, Public Health Advisory","Shasta County Board of Supervisors, Public Health Advisory",canonical,95.0,99.1
Shasta County (Goldsmith) Association,1,Shasta,Shasta,canonical,90.0,100.0
Shasta Community Health Centers,1,"Shasta Community Health Center, Redding",Shasta Community Health Center,alt(alternate_spelling),98.4,98.4
Shasta Breastfeeding,1,Shasta,Shasta,canonical,90.0,100.0
Sharp Hospice Care (2 individuals),1,Hospice Care,Hospice Care,canonical,90.0,100.0
Sharp HealthCare Center for Health Promotion (prior version),1,Sharp HealthCare Center for Health Promotion,Sharp HealthCare Center for Health Promotion,canonical,95.0,100.0
Sharon Pierce,1,Academic Senate for the California Community Colleges,"Sharon Crasnow, Academic Senate President, Norco College",alt(alternate_spelling),85.5,63.2
Sharon Cohen,1,Academic Senate for the California Community Colleges,"Sharon Crasnow, Academic Senate President, Norco College",alt(alternate_spelling),85.5,66.7
Sharon Arpoika,1,"Friends of the Oakdale Library, Sharon Arpoika, President","Friends of the Oakdale Library, Sharon Arpoika, President",canonical,90.0,60.0
"Share Pregnancy and Infant Loss Support, Inc",1,"Share Pregnancy and Infant Loss , Inc","Share Pregnancy and Infant Loss , Inc",canonical,95.0,97.2
"Sgt. Jay Crawford, Oakland Police Department",1,Oakland Police,Oakland Police,canonical,90.0,100.0
SfV Indivisible,1,Indivisible,Indivisible,canonical,95.0,100.0
Sexual Assault Victims' DNA Bill of Rights,1,Rights,Rights,canonical,90.0,100.0
Sexual Assault Victims Services - Napa,1,"Sexual Assault Victims Services, Napa","Sexual Assault Victims Services, Napa",canonical,98.7,96.0
Sexual Assault Recovery and Prevention Center of San Louis Obispo County,1,Sexual Assault Recovery & Prevention Center of San Luis Obispo County,Sexual Assault Recovery & Prevention Center of San Luis Obispo County,canonical,96.5,95.0
Sexual (Chu) PageB & Prevention Center of San Luis Obispo,1,Prevention Center,Prevention Center,canonical,90.0,100.0
Sex Workers' Outreach Project - Los Angeles,1,Sex Workers Outreach Project of Los Angeles,Sex Workers Outreach Project Los Angeles,alt(alternate_spelling),96.4,96.4
Sex Workers Outreach Project - Sacramento,1,Sex Workers Outreach Project Sacramento,Sex Workers Outreach Project Sacramento,canonical,97.5,100.0
Sex Workers Outreach Project - Los Angeles,1,Sex Workers Outreach Project of Los Angeles,Sex Workers Outreach Project Los Angeles,alt(alternate_spelling),97.6,100.0
Several water agencies and members of the Partnership,1,Several,Several,canonical,90.0,100.0
Several superintendents,1,Several,Several,canonical,90.0,100.0
Several studies,1,Several,Several,canonical,90.0,100.0
Several salon owners,1,Several,Several,canonical,90.0,100.0
Several restaurant and franchise owners,1,Several,Several,canonical,90.0,100.0
Several private individuals and out-of-state franchisees,1,Several,Several,canonical,90.0,100.0
Several participants in the Safe at Home Program,1,Several,Several,canonical,90.0,100.0
Several other organizations make similar statements,1,Several,Several,canonical,90.0,100.0
Several other individual letters,1,Several,Several,canonical,90.0,100.0
Several other individual fishermen and vessel owners,1,Several,Several,canonical,90.0,100.0
Several other groups,1,Several,Several,canonical,90.0,100.0
Several notaries,1,Several,Several,canonical,90.0,100.0
Several named individuals,1,Several,Several,canonical,90.0,100.0
Several mentor teachers,1,Several,Several,canonical,90.0,100.0
Several members of the LAIF Advisory Board,1,Several,Several,canonical,90.0,100.0
Several licensed physicians and various individuals,1,Several,Several,canonical,90.0,100.0
Several licensed acupuncturists,1,Licensed Acupuncturists,Licensed Acupuncturists,canonical,95.0,77.8
Several letters from individuals at Chester High School,1,High School,High School,canonical,90.0,100.0
"Several letters from Researchers, Scripps Research Institute",1,Research,Research,canonical,90.0,100.0
"Several letters from Professors, Stanford University School of Medicine",1,School of Medicine,School of Medicine,canonical,90.0,100.0
Several law firms,1,Several,Several,canonical,90.0,100.0
"Several individuals, families, & other",1,Several,Several,canonical,90.0,100.0
Several individuals involved in the field of elder abuse,1,Several,Several,canonical,90.0,100.0
Several individuals and attorneys,1,Several,Several,canonical,90.0,100.0
Several individuals and EAP practitioners,1,Several,Several,canonical,90.0,100.0
Several individuals (prior version),1,Several,Several,canonical,90.0,100.0
Several individuals (100+),1,Several,Several,canonical,90.0,100.0
Several individual women,1,Several,Several,canonical,90.0,100.0
Several individual veterinarians,1,Several,Several,canonical,90.0,100.0
Several individual veterinarian and wildlife scientists,1,Several,Several,canonical,90.0,100.0
Several individual students,1,Several,Several,canonical,90.0,100.0
Several individual service station owners,1,Several,Several,canonical,90.0,100.0
Several individual practitioners,1,Several,Several,canonical,90.0,100.0
Several individual ophthalmologists,1,Several,Several,canonical,90.0,100.0
Several individual medical professionals,1,Several Medical Professionals,Several Medical Professionals,canonical,95.0,78.3
Several individual crab fishermen,1,Several,Several,canonical,90.0,100.0
Several individual constituents,1,Several,Several,canonical,90.0,100.0
Several individual attorneys and insurance adjusters,1,Several,Several,canonical,90.0,100.0
Several individual,1,Several,Several,canonical,90.0,100.0
Several hundred letters from individuals,1,Several,Several,canonical,90.0,100.0
Several hundred emails/letters,1,Several,Several,canonical,90.0,100.0
Several hundred Individuals (prior version),1,Several,Several,canonical,90.0,100.0
Several foreign professors of veterinary,1,Several,Several,canonical,90.0,100.0
Several faculty at Santa Monica College,1,Santa Monica,Santa Monica,canonical,90.0,100.0
Several dozen letters from agents,1,Several,Several,canonical,90.0,100.0
Several current and former judges and attorneys,1,Several,Several,canonical,90.0,100.0
Several contractors,1,Contractors,Contractors,canonical,90.0,66.7
Several additional letters were received,1,Several,Several,canonical,90.0,100.0
Several Winnemem Wintu Tribal members,1,Several,Several,canonical,90.0,100.0
Several Winnemem Wintu Tribal Members,1,Several,Several,canonical,90.0,100.0
Several Westminster City property owners,1,Several,Several,canonical,90.0,100.0
Several PDHC providers and the Pediatric Day Health Care Coalition write,1,Health Care,Health Care,canonical,90.0,100.0
Several MFCC interns and trainees,1,Several,Several,canonical,90.0,100.0
Several Letters from Individuals,1,Several,Several,canonical,90.0,100.0
Several Individuals and two law professors,1,Several,Several,canonical,90.0,100.0
Several Individual Transplant Recipients,1,Several,Several,canonical,90.0,100.0
Several Individual Physicians,1,Several,Several,canonical,90.0,100.0
Several Individual Nurse Practitioners,1,Nurse Practitioners,Nurse Practitioners,canonical,90.0,100.0
Several Individual Court Reporters,1,Court Reporters Association,Court Reporters,alt(alternate_spelling),90.0,100.0
Several Individual Certified Public Accountants,1,CALIFORNIA SOCIETY OF CERTIFIED PUBLIC ACCOUNTANTS,Certified Public Accountants,alt(alternate_spelling),90.0,100.0
Several Individual,1,Several,Several,canonical,90.0,100.0
"Seventh-day Adventist, Church-State Council",1,Seventh-day Adventist Church,Seventh-day Adventist Church State Council,alt(chapter),98.8,96.5
Seventh-day Adventist Church-State Council,1,Seventh-day Adventist Church,Seventh-day Adventist Church State Council,alt(chapter),100.0,97.6
Seventh-day Adventist Church State Counci,1,Seventh-day Adventist Church,Seventh-day Adventist Church State Council,alt(chapter),98.8,98.8
Seventh- Day Adventist Church State Council,1,Seventh-day Adventist Church,Seventh-day Adventist Church State Council,alt(chapter),98.8,91.8
Seventh Day Adventist (Chu) Council,1,Seventh,Seventh,canonical,90.0,100.0
Seven pediatricians,1,American Academy of Pediatricians,American Academy of Pediatricians,canonical,85.5,61.5
Seven Presidents and/or CEOs of Hospitals,1,Hospitals,Hospitals,canonical,90.0,100.0
"Seth Atkinson, Staff Attorney, Oceans Program, Natural Resources Defense Council",1,Natural Resources,Natural Resources,canonical,90.0,100.0
Set Painters & Sign Writers: IATSE Local 729,1,"Set Painters & Sign Writers, IATSE","Set Painters & Sign Writers, IATSE Local 729",alt(chapter),100.0,97.7
Servs. Task Force,1,32nd Street Canyon Task Force,32nd Street Canyon Task Force,canonical,85.5,74.1
Services: County of Del Norte,1,County of Del,County of Del,canonical,90.0,100.0
"Services, Mental Health Services",1,Antelope Valley Hospital Mental Health Services,Antelope Valley Hospital Mental Health Services,canonical,95.0,81.5
Services' Nutrition Wellness Program,1,Wellness Program,Wellness Program,canonical,90.0,100.0
Services for Battered Women and their,1,Services for Battered Women,Services for Battered Women,canonical,95.0,100.0
"Services Employees International Union, State Council",1,State Council of the Service Employees International Union,Service Employees International Union State Council,alt(alternate_spelling),98.1,98.1
"Services Employees International Union California State Council (SEIU California), sponsor of the bill",1,Service Employees International Union,California State Council of the Services Employees International Union,alt(chapter),95.0,100.0
Services Employees International Union (SEIU) California,1,Service Employees International Union - California (SEIU California),Service Employees International Union (SEIU of California),alt(alternate_spelling),97.3,94.7
"Services District, Sacramento Metropolitan Air",1,Sacramento Metropolitan Air District,Sacramento Metropolitan Air District,canonical,95.0,87.8
"Services District, Russell Valley Municipal",1,Russell,Russell,canonical,90.0,100.0
Services Agency's record management program has,1,Services Agency,Services Agency,canonical,90.0,69.6
"Service, Public Citizen's Critical Mass Energy and Environment Program, Rural Counties",1,Public Citizen's Critical Mass Energy and Environment Program,Public Citizen's Critical Mass Energy and Environment Program,canonical,95.0,93.0
"Service, Inc., Potential Industries, Inc., Region 8 States Council of the United Food and Commercial Workers, Santa Clara County, Santa",1,8 States Council of the United Food and Commercial,8 States Council of the United Food and Commercial,canonical,90.0,100.0
"Service, Inc",1,"Agri Service, Inc","Agri Service, Inc",canonical,95.0,100.0
Service International Employees Union (SEIU) - Sponsor,1,Service Employees International Union,Service Employees International Union,canonical,95.0,100.0
Service Employer's International Union Local,1,Service Employees International Union Local,Service Employees International Union Local,canonical,96.6,96.6
Service Employees of California,1,California Council of the Service Employees,California Council of the Service Employees,canonical,95.0,100.0
Service Employees of CA,1,"American Federation of State, County and Municipal Employees (AFSCME)",Employees,alt(alternate_spelling),90.0,100.0
Service Employees Union of California,1,CENTRAL COAST ALLIANCE UNITED FOR A SUSTAINABLE ECONOMY,California Union of Service Employees (CAUSE),alt(chapter),95.0,100.0
"Service Employees Union International, Local 1000",1,Service Employees International Union,Service Employees International Union,canonical,95.0,86.0
"Service Employees Union International (SIEU), Local 1000",1,"Service Employees Union International (SIEU), Local","Service Employees Union International (SIEU), Local",canonical,95.3,100.0
Service Employees International: Union - CA State Council,1,California State Council of the Service Employees International,Service Employees International Union CA State Council,alt(alternate_spelling),97.3,97.3
Service Employees International Union: Received 5/24/04,1,Service Employees International Union,Service Employees International Union,canonical,95.0,91.2
Service Employees International Union/United Healthcare Workers (SEIU-UHW),1,Service Employees International Union - United Healthcare,Service Employees International Union - United Healthcare,canonical,95.0,85.5
Service Employees International Union. AFL-CIO,1,Service Employees International Union,"Services Employees International Union, AFL-CIO",alt(alternate_spelling),98.9,96.8
Service Employees International Union-California State Council,1,"Service Employee International Union, California State Council","Service Employee International Union, California State Council",canonical,98.4,80.6
"Service Employees International Union,AFL-CIO",1,Service Employees International Union,"Services Employees International Union, AFL-CIO",alt(alternate_spelling),97.8,82.6
"Service Employees International Union, a number of individuals",1,Service Employees International Union- UHW,Service Employees International Union- UHW,canonical,90.1,84.9
"Service Employees International Union, Sacramento, Los: Angeles, and Oakland",1,"Service Employees International Union, Sacramento, Los","Service Employees International Union, Sacramento, Los",canonical,95.0,96.2
"Service Employees International Union, SEIU Local 660",1,"Service Employees International Union, Local (SEIU)",Service Employees International Union (SEIU) Local,alt(alternate_spelling),95.1,93.2
"Service Employees International Union, SEIU Local 1000",1,"Service Employees International Union (SEIU), Local 1000","Service Employees International Union (SEIU), Local 1000",canonical,98.2,96.4
"Service Employees International Union, Local 949",1,Service Employees International Union,Service Employees International Union,canonical,95.0,91.2
"Service Employees International Union, Local 87",1,Service Employees International Union Local,Service Employees International Union Local,canonical,95.6,95.6
"Service Employees International Union, Local 790",1,Service Employees International Union,Service Employees International Union,canonical,95.0,91.2
"Service Employees International Union, Local 660, SEIU",1,"Service Employees International Union, Local (SEIU)","Service Employees International Union, Local (SEIU)",canonical,96.2,93.3
"Service Employees International Union, Local 660 (Los Angeles County), AFL-CIO",1,Los Angeles County Service Employees International Union,Los Angeles County Service Employees International Union,canonical,95.0,82.1
"Service Employees International Union, Local 6434 - United Long Term Care Workers",1,Service Employees International Union - United Long-Term Care,Service Employees International Union - United Long-Term Care,canonical,95.0,84.9
"Service Employees International Union, Local 6434 - ULTCW (United Long Term Care Workers)",1,Service Employees International Union - United Long-Term Care,Service Employees International Union - United Long-Term Care,canonical,95.0,76.8
"Service Employees International Union, Local 620 (SEIU)",1,"Service Employees International Union, Local (SEIU)","Service Employees International Union, Local (SEIU)",canonical,96.2,100.0
"Service Employees International Union, Local 620",1,Service Employees International Union,Service Employees International Union,canonical,95.0,91.2
"Service Employees International Union, Local 616",1,Service Employees International Union,Service Employees International Union,canonical,95.0,91.2
"Service Employees International Union, Local 535",1,Service Employees International Union,Service Employees International Union,canonical,95.0,91.2
"Service Employees International Union, Local 434B",1,Service Employees International Union,Service Employees International Union,canonical,95.0,91.2
"Service Employees International Union, Local 415",1,Service Employees International Union,Service Employees International Union,canonical,95.0,91.2
"Service Employees International Union, Local 280",1,Service Employees International Union,Service Employees International Union,canonical,95.0,91.2
"Service Employees International Union, Local 221",1,Service Employees International Union,Service Employees International Union,canonical,95.0,91.2
"Service Employees International Union, Local 1277",1,Service Employees International Union,Service Employees International Union,canonical,95.0,91.2
"Service Employees International Union, Local 1021 (SEIU)",1,"Service Employees International Union, Local (SEIU)","Service Employees International Union, Local (SEIU)",canonical,95.2,100.0
"Service Employees International Union, Local 1021 & Local 1877",1,Service Employees International Union 1021,Service Employees International Union 1021,canonical,95.0,92.3
"Service Employees International Union, Local 1000 (SEIU co-sponsor)",1,Service Employees International Union (SEIU) 1000,Service Employees International Union (SEIU) 1000,canonical,95.0,84.7
"Service Employees International Union, Local 1000 (SEIU Local 1000)",1,Service Employees International Union (SEIU) 1000,Service Employees International Union (SEIU) 1000,canonical,95.0,89.1
"Service Employees International Union, Local 1000 (SEIU 1000)",1,Service Employees International Union (SEIU) 1000,Service Employees International Union (SEIU) 1000,canonical,95.0,89.1
"Service Employees International Union, Local 1,000",1,Service Employees International Union,Service Employees International Union,canonical,95.0,91.2
"Service Employees International Union, Joint Council of Interns and Residents",1,Joint Council of Interns and Residents,"Service Employees International Union, Joint Council of Interns",alt(alternate_spelling),95.0,100.0
"Service Employees International Union, California (SEIU CA)",1,Service Employees International Union - California (SEIU California),Service Employees International Union California (SEIU),alt(alternate_spelling),96.4,96.5
"Service Employees International Union, American Federation of State, County, and Municipal Employees. AFL-CIO, California Nurses",1,Service Employees International Union,Service Employees International Union,canonical,90.0,91.2
"Service Employees International Union, AFL-CIO,CLC",1,"Service Employees International Unions, AFL-CIO, CLC","Service Employees International Unions, AFL-CIO, CLC",canonical,98.0,98.0
"Service Employees International Union, AFL-CIO, CLC, California",1,"Service Employees International Union, AFL-CIO, CLC, California State","Service Employees International Union, AFL-CIO, CLC, California State",canonical,95.5,100.0
Service Employees International Union plus Local 2028,1,Service Employees International Union,Service Employees International Union,canonical,95.0,100.0
Service Employees International Union Nurse Alliance to improve the complaint,1,The Service Employees International Union Nurse Alliance,The Service Employees International Union Nurse Alliance,canonical,95.0,96.3
Service Employees International Union Local 721,1,Service Employees International Union Local,Service Employees International Union Local,canonical,95.6,100.0
"Service Employees International Union Local 660, SEIU",1,"Service Employees International Union, Local (SEIU)","Service Employees International Union, Local (SEIU)",canonical,95.1,92.3
Service Employees International Union Local 660 Board of Directors,1,Service Employees International Union,Service Employees International Union,canonical,90.0,100.0
Service Employees International Union Local 6434-ULTCW,1,Service Employees International Union,Service Employees International Union,canonical,95.0,100.0
Service Employees International Union Local 435B,1,Service Employees International Union,Service Employees International Union,canonical,95.0,100.0
Service Employees International Union Local 399,1,Service Employees International Union Local,Service Employees International Union Local,canonical,95.6,100.0
Service Employees International Union Local 1280,1,Service Employees International Union,Service Employees International Union,canonical,95.0,100.0
Service Employees International Union Local 1000 Women's Committee,1,International Union,International Union Local 1000 Women's Committee,alt(chapter),95.0,100.0
Service Employees International Union Local 1000 CA State,1,Employees International Union,Employees International Union Local 1000,alt(chapter),95.0,100.0
Service Employees International Union Local 100,1,Service Employees International Union Local,Service Employees International Union Local,canonical,95.6,100.0
Service Employees International Union California State Council (SEIU),1,"Service Employees International Union, California State Council (SEIU California)","Service Employees International Union California State Council, SEIU",alt(alternate_spelling),100.0,90.5
"Service Employees International Union CA State Council, AFL-CIO",1,Service Employees International Union,Afl-cio Service Employees International Union,alt(alternate_spelling),95.0,90.2
"Service Employees International Union AFL-CIO, CLC, California",1,Service Employees International Union,Afl-cio Service Employees International Union,alt(alternate_spelling),95.0,90.2
Service Employees International Union - United Long-Term Care Workers' Union,1,Service Employees International Union - United Long-Term Care Workers,Service Employees International Union - United Long-Term Care Workers,canonical,95.2,99.3
Service Employees International Union - United Healthcare Workers West,1,Service Employees International Union United Healthcare Workers West,Service Employees International Union United Healthcare Workers West,canonical,98.6,100.0
Service Employees International Union - Sponsor,1,Service Employees International Union (Sponor),Service Employees International Union (Sponor),canonical,97.8,94.6
Service Employees International Union - Local United Long Term Care Workers,1,Service Employees International Union Local United Long Term Care Workers,Service Employees International Union Local United Long Term Care Workers,canonical,98.6,100.0
Service Employees International Union - Local 1000,1,Service Employees International Union,Service Employees International Union,canonical,95.0,100.0
Service Employees International Union - California State,1,Service Employees International Union California State,Service Employees International Union California State,canonical,98.2,100.0
Service Employees International Union - California (prior version),1,Service Employees International Union California,Service Employees International Union California,canonical,95.0,100.0
Service Employees International Union - CA,1,Service Employees International Union California,"Service Employees International Union, CA",alt(alternate_spelling),98.8,96.4
"Service Employees International Union - AFL-CIO, Local 660",1,Service Employees International Union,Afl-cio Service Employees International Union,alt(alternate_spelling),95.0,90.2
Service Employees International Union (previous version),1,Service Employees International Union,Service Employees International Union,canonical,95.0,100.0
Service Employees International Union (on behalf of the SEIU Nurse Alliance),1,Service Employees International Union (on behalf of the SEIU Nurse Alliances),Service Employees International Union (on behalf of the SEIU Nurse Alliances),canonical,99.3,99.3
Service Employees International Union (on behalf of Local 347),1,Service Employees International Union Local,Service Employees International Union Local,canonical,95.0,100.0
Service Employees International Union (on behalf of,1,Service Employees International Union,Service Employees International Union,canonical,95.0,100.0
Service Employees International Union (as of 3/20/95),1,Service Employees International Union,Service Employees International Union,canonical,95.0,100.0
Service Employees International Union (SEIU): SEIU Local 434B,1,Service Employees International Union Local,Service Employees International Union Local,canonical,95.0,100.0
Service Employees International Union (SEIU)-UHW,1,Service Employees International Union,Service Employees International Union,canonical,95.0,100.0
"Service Employees International Union (SEIU), State Council, and Locals",1,State Council of the Service Employees International Union,Service Employees International Union State Council,alt(alternate_spelling),95.0,91.5
"Service Employees International Union (SEIU), Local 707",1,"Service Employees International Union (SEIU), Local 1000","Service Employees International Union (SEIU), Local 1000",canonical,95.5,96.2
"Service Employees International Union (SEIU), Local 660",1,"Service Employees International Union (SEIU), Local 1000","Service Employees International Union (SEIU), Local 1000",canonical,95.5,96.2
"Service Employees International Union (SEIU), Local 1021 & Local 1877",1,"Service Employees International Union, Local (SEIU)","Service Employees International Union, Local (SEIU)",canonical,95.0,87.7
"Service Employees International Union (SEIU), Local 1000, represents 96,000 public employees statewide and",1,Service Employees International Union,Service Employees International Union,canonical,90.0,100.0
"Service Employees International Union (SEIU), Local 1000, represents 95,000 public employees statewide and",1,Service Employees International Union,Service Employees International Union,canonical,90.0,100.0
"Service Employees International Union (SEIU), Co-Sponsors",1,Service International Employees Union (SEIU),Service International Employees Union (SEIU),canonical,95.0,91.4
Service Employees International Union (SEIU) represents the Bar's employees and it,1,Service Employees International Union,Service Employees International Union,canonical,90.0,100.0
Service Employees International Union (SEIU) Sponsor,1,Service Employees International Union,Service Employees International Union,canonical,95.0,100.0
Service Employees International Union (SEIU) Local 721,1,"Service Employees International Union, Local (SEIU)",Service Employees International Union (SEIU) Local,alt(alternate_spelling),96.2,100.0
Service Employees International Union (SEIU) Local 660 (Los Angeles),1,"Service Employees International Union, Local (SEIU)","Service Employees International Union, Local (SEIU)",canonical,95.0,92.6
Service Employees International Union (SEIU) Local 347 (Los Angeles),1,"Service Employees International Union, Local (SEIU)","Service Employees International Union, Local (SEIU)",canonical,95.0,92.6
Service Employees International Union (SEIU) Local 221,1,"Service Employees International Union, Local (SEIU)",Service Employees International Union (SEIU) Local,alt(alternate_spelling),96.2,100.0
"Service Employees International Union (SEIU) Local 1000, which represents the attorney and non-attorney employees of the State Bar",1,Service Employees International Union,Service Employees International Union,canonical,90.0,100.0
Service Employees International Union (SEIU) Local 100,1,"Service Employees International Union (SEIU), Local 1000","Service Employees International Union (SEIU), Local 1000",canonical,98.2,98.2
Service Employees International Union (SEIU) Campaign to Improve Assisted Living,1,Service Employees International Union (SEIU) Campaign to Improve Assisted,Service Employees International Union (SEIU) Campaign to Improve Assisted,canonical,95.4,100.0
Service Employees International Union (SEIU) AARP Alzheimer's Association Congress of California Seniors Older Women's League of California The following organization,1,Service Employees International Union,Service Employees International Union,canonical,90.0,100.0
Service Employees International Union (SEIU) : SEIU Local 434B,1,Service Employees International Union Local,Service Employees International Union Local,canonical,95.0,100.0
"Service Employees International Union (SEIU) 1000, the labor",1,Service Employees International Union (SEIU) 1000,Service Employees International Union (SEIU) 1000,canonical,95.0,94.6
"Service Employees International Union (SEIU) , California State Council",1,"Service Employees International Union, California State Council (SEIU California)",Service Employees International Union (SEIU) California State Council,alt(alternate_spelling),98.6,100.0
Service Employees International Union (SEIU) (Sponsors),1,Service Employees International Union,Service Employees International Union,canonical,95.0,100.0
"Service Employees International Union (SEIU) (April 2, 2009 version)",1,Service Employees International Union,Service Employees International Union,canonical,90.0,100.0
Service Employees International Union (SEIU - Sponsor),1,Service Employees International Union,Service Employees International Union,canonical,95.0,100.0
Service Employees International Union (Prior version),1,Service Employees International Union,Service Employees International Union,canonical,95.0,100.0
Service Employees International Union (Previous version of the bill),1,"Service Employees International Union, the bill's","Service Employees International Union, the bill's",canonical,93.0,83.3
Service Employees International Union (Co-Sponsors),1,Service Employees International Union,Service Employees International Union,canonical,95.0,100.0
Service Employees International Union (9/7/99),1,Service Employees International Union,Service Employees International Union,canonical,95.0,100.0
Service Employees International None to date,1,Service Employees International,Service Employees International,canonical,95.0,100.0
Service Employees International Local 535 434B,1,Service Employees International,Service Employees International,canonical,95.0,100.0
Service Employees International Local 535,1,Service Employees International,Service Employees International,canonical,95.0,100.0
Service Employees International Local 1000,1,Service Employees International,Service Employees International,canonical,95.0,100.0
